DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
mono,Escherichia,"Using the microbial tryptophan metabolite indole, known to regulate prokaryotic cell division and metabolic stress conditions, we mono-colonized germ-free (GF) mice with indole-producing wild-type Escherichia coli (E. coli) or tryptophanase-encoding tnaA knockout mutant indole-non-producing E. coli.",What is the relation between mono and Escherichia?,positive
PD,Treponema denticola,"Porphyromonas gingivalis is the primary microbe in the ""periodontal red complex"" bacteria (PRCB) along with Tannerella forsythia and Treponema denticola, which are linked to periodontal disease (PD).",What is the relation between PD and Treponema denticola?,relate
PD,Tannerella,"Porphyromonas gingivalis is the primary microbe in the ""periodontal red complex"" bacteria (PRCB) along with Tannerella forsythia and Treponema denticola, which are linked to periodontal disease (PD).",What is the relation between PD and Tannerella?,relate
PD,Treponema,"Porphyromonas gingivalis is the primary microbe in the ""periodontal red complex"" bacteria (PRCB) along with Tannerella forsythia and Treponema denticola, which are linked to periodontal disease (PD).",What is the relation between PD and Treponema?,relate
meningitis,Ureaplasma parvum,"Here, we report an immunosuppressed female in her late teens with a purulent meningitis due to Ureaplasma parvum-a very rare cause of infection in the central nervous system of adults.",What is the relation between meningitis and Ureaplasma parvum?,positive
meningitis,Ureaplasma,"Here, we report an immunosuppressed female in her late teens with a purulent meningitis due to Ureaplasma parvum-a very rare cause of infection in the central nervous system of adults.",What is the relation between meningitis and Ureaplasma?,positive
periodontitis,Pseudomonas,"In contrast to the situation in chronic periodontitis, the effects of IMTM extraction on dPPD, dAL, dPLI and dBOP of ASMs were mainly correlated with Pseudomonas.",What is the relation between periodontitis and Pseudomonas?,positive
HCC,Erysipelotrichaceae,"Bacteroidia and Bacteroidales were demonstrated to exert mediating effects between HBV and HCC, and the moderating effects varied across Bacilli, Lactobacillales, Erysipelotrichaceae, Actinomyces, and Roseburia.",What is the relation between HCC and Erysipelotrichaceae?,relate
HCC,Lactobacillales,"Bacteroidia and Bacteroidales were demonstrated to exert mediating effects between HBV and HCC, and the moderating effects varied across Bacilli, Lactobacillales, Erysipelotrichaceae, Actinomyces, and Roseburia.",What is the relation between HCC and Lactobacillales?,relate
HCC,Bacteroidales,"Bacteroidia and Bacteroidales were demonstrated to exert mediating effects between HBV and HCC, and the moderating effects varied across Bacilli, Lactobacillales, Erysipelotrichaceae, Actinomyces, and Roseburia.",What is the relation between HCC and Bacteroidales?,relate
HCC,Actinomyces,"Bacteroidia and Bacteroidales were demonstrated to exert mediating effects between HBV and HCC, and the moderating effects varied across Bacilli, Lactobacillales, Erysipelotrichaceae, Actinomyces, and Roseburia.",What is the relation between HCC and Actinomyces?,relate
HCC,Roseburia,"Bacteroidia and Bacteroidales were demonstrated to exert mediating effects between HBV and HCC, and the moderating effects varied across Bacilli, Lactobacillales, Erysipelotrichaceae, Actinomyces, and Roseburia.",What is the relation between HCC and Roseburia?,relate
HCC,Bacilli,"Bacteroidia and Bacteroidales were demonstrated to exert mediating effects between HBV and HCC, and the moderating effects varied across Bacilli, Lactobacillales, Erysipelotrichaceae, Actinomyces, and Roseburia.",What is the relation between HCC and Bacilli?,relate
COPD,Staphylococcus,"Additionally, a decrease in bacterial diversity was observed during COPD exacerbation, and mortality was associated with the high abundance of the Staphylococcus and Pseudomonas genera.",What is the relation between COPD and Staphylococcus?,positive
COPD,Pseudomonas,"Additionally, a decrease in bacterial diversity was observed during COPD exacerbation, and mortality was associated with the high abundance of the Staphylococcus and Pseudomonas genera.",What is the relation between COPD and Pseudomonas?,positive
COPD,Proteobacteria,"Moreover, an increase in Proteobacteria abundance was observed during COPD exacerbations.",What is the relation between COPD and Proteobacteria?,positive
COPD,Bacteroidetes,"In contrast, COPD patients exhibited decreased levels of Firmicutes and Bacteroidetes.",What is the relation between COPD and Bacteroidetes?,negative
COPD,Firmicutes,"In contrast, COPD patients exhibited decreased levels of Firmicutes and Bacteroidetes.",What is the relation between COPD and Firmicutes?,negative
obesity,Lachnospiraceae,"The diseased cohort exhibited an enrichment of Lachnospiraceae family, correlating with obesity, insulin resistance, and metabolic disturbances.",What is the relation between obesity and Lachnospiraceae?,relate
multiple sclerosis,Mycobacterium,We therefore present a network perspective on complex interactions in gut microbial profiles of individuals who have multiple sclerosis with and without Mycobacterium avium subspecies paratuberculosis (MAP) infection.,What is the relation between multiple sclerosis and Mycobacterium?,relate
Cd,Rhodanobacter,"Although both HAE and NAE harbored Streptomyces, Massilia, Bacillus, and WPS-2 Uncultured Bacteria with relative abundance of more than 1% in the rhizosphere associated with plant growth and immunity, the HAE rhizosphere specifically recruited Rhodanobacter (2.66%), Nocardioides (1.16%), and Burkholderia (1.01%) through exudates to benefit the extraction of Cd from soil.",What is the relation between Cd and Rhodanobacter?,positive
Cd,Streptomyces,"Although both HAE and NAE harbored Streptomyces, Massilia, Bacillus, and WPS-2 Uncultured Bacteria with relative abundance of more than 1% in the rhizosphere associated with plant growth and immunity, the HAE rhizosphere specifically recruited Rhodanobacter (2.66%), Nocardioides (1.16%), and Burkholderia (1.01%) through exudates to benefit the extraction of Cd from soil.",What is the relation between Cd and Streptomyces?,positive
Cd,Nocardioides,"Although both HAE and NAE harbored Streptomyces, Massilia, Bacillus, and WPS-2 Uncultured Bacteria with relative abundance of more than 1% in the rhizosphere associated with plant growth and immunity, the HAE rhizosphere specifically recruited Rhodanobacter (2.66%), Nocardioides (1.16%), and Burkholderia (1.01%) through exudates to benefit the extraction of Cd from soil.",What is the relation between Cd and Nocardioides?,positive
Cd,Burkholderia,"Although both HAE and NAE harbored Streptomyces, Massilia, Bacillus, and WPS-2 Uncultured Bacteria with relative abundance of more than 1% in the rhizosphere associated with plant growth and immunity, the HAE rhizosphere specifically recruited Rhodanobacter (2.66%), Nocardioides (1.16%), and Burkholderia (1.01%) through exudates to benefit the extraction of Cd from soil.",What is the relation between Cd and Burkholderia?,positive
Cd,Bacillus,"Although both HAE and NAE harbored Streptomyces, Massilia, Bacillus, and WPS-2 Uncultured Bacteria with relative abundance of more than 1% in the rhizosphere associated with plant growth and immunity, the HAE rhizosphere specifically recruited Rhodanobacter (2.66%), Nocardioides (1.16%), and Burkholderia (1.01%) through exudates to benefit the extraction of Cd from soil.",What is the relation between Cd and Bacillus?,positive
Cd,Massilia,"Although both HAE and NAE harbored Streptomyces, Massilia, Bacillus, and WPS-2 Uncultured Bacteria with relative abundance of more than 1% in the rhizosphere associated with plant growth and immunity, the HAE rhizosphere specifically recruited Rhodanobacter (2.66%), Nocardioides (1.16%), and Burkholderia (1.01%) through exudates to benefit the extraction of Cd from soil.",What is the relation between Cd and Massilia?,positive
Anemia,Parabacteroides,"In the Non-Anemia group, Parabacteroides showed a specifically elevated abundance positively correlated with enriched 1,25-dihydroxyvitamin D3.",What is the relation between Anemia and Parabacteroides?,positive
cystic fibrosis,Pseudomonas aeruginosa,"This study introduces an efficient electrochemical method for rapidly identifying the pathogen Pseudomonas aeruginosa (P. aeruginosa), which poses threats to individuals with compromised immune systems and cystic fibrosis.",What is the relation between cystic fibrosis and Pseudomonas aeruginosa?,relate
cystic fibrosis,Pseudomonas,"This study introduces an efficient electrochemical method for rapidly identifying the pathogen Pseudomonas aeruginosa (P. aeruginosa), which poses threats to individuals with compromised immune systems and cystic fibrosis.",What is the relation between cystic fibrosis and Pseudomonas?,relate
PD,Bifidobacterium dentium,"The microbial signature of PD includes overabundance of 16 OTUs, including Streptococcus mutans and Bifidobacterium dentium, and depletion of 28 OTUs.",What is the relation between PD and Bifidobacterium dentium?,negative
PD,Streptococcus mutans,"The microbial signature of PD includes overabundance of 16 OTUs, including Streptococcus mutans and Bifidobacterium dentium, and depletion of 28 OTUs.",What is the relation between PD and Streptococcus mutans?,negative
PD,Bifidobacterium,"The microbial signature of PD includes overabundance of 16 OTUs, including Streptococcus mutans and Bifidobacterium dentium, and depletion of 28 OTUs.",What is the relation between PD and Bifidobacterium?,negative
PD,Streptococcus,"The microbial signature of PD includes overabundance of 16 OTUs, including Streptococcus mutans and Bifidobacterium dentium, and depletion of 28 OTUs.",What is the relation between PD and Streptococcus?,negative
endometriosis,Enterobacteriaceae,"However, shared Gardnerella and Enterobacteriaceae ASVs were linked to other conditions but not endometriosis.",What is the relation between endometriosis and Enterobacteriaceae?,relate
endometriosis,Gardnerella,"However, shared Gardnerella and Enterobacteriaceae ASVs were linked to other conditions but not endometriosis.",What is the relation between endometriosis and Gardnerella?,relate
endometriosis,Haemophilus,"Remarkably, Haemophilus was a specific GIT-shared taxon in endometriosis cases.",What is the relation between endometriosis and Haemophilus?,relate
PCOS,Ruminococcus torques,"Several gut microbes exhibited uniquely and significantly higher abundance in the PCOS-DP compared to PCOS patients, inducing EC Ruminococcus torques, Coprococcus comes, Megasphaera elsdenii, Acidaminococcus intestini, and Barnesiella viscericola.",What is the relation between PCOS and Ruminococcus torques?,positive
PCOS,Megasphaera elsdenii,"Several gut microbes exhibited uniquely and significantly higher abundance in the PCOS-DP compared to PCOS patients, inducing EC Ruminococcus torques, Coprococcus comes, Megasphaera elsdenii, Acidaminococcus intestini, and Barnesiella viscericola.",What is the relation between PCOS and Megasphaera elsdenii?,positive
PCOS,Coprococcus comes,"Several gut microbes exhibited uniquely and significantly higher abundance in the PCOS-DP compared to PCOS patients, inducing EC Ruminococcus torques, Coprococcus comes, Megasphaera elsdenii, Acidaminococcus intestini, and Barnesiella viscericola.",What is the relation between PCOS and Coprococcus comes?,positive
PCOS,Acidaminococcus,"Several gut microbes exhibited uniquely and significantly higher abundance in the PCOS-DP compared to PCOS patients, inducing EC Ruminococcus torques, Coprococcus comes, Megasphaera elsdenii, Acidaminococcus intestini, and Barnesiella viscericola.",What is the relation between PCOS and Acidaminococcus?,positive
PCOS,Ruminococcus,"Several gut microbes exhibited uniquely and significantly higher abundance in the PCOS-DP compared to PCOS patients, inducing EC Ruminococcus torques, Coprococcus comes, Megasphaera elsdenii, Acidaminococcus intestini, and Barnesiella viscericola.",What is the relation between PCOS and Ruminococcus?,positive
PCOS,Megasphaera,"Several gut microbes exhibited uniquely and significantly higher abundance in the PCOS-DP compared to PCOS patients, inducing EC Ruminococcus torques, Coprococcus comes, Megasphaera elsdenii, Acidaminococcus intestini, and Barnesiella viscericola.",What is the relation between PCOS and Megasphaera?,positive
PCOS,Coprococcus,"Several gut microbes exhibited uniquely and significantly higher abundance in the PCOS-DP compared to PCOS patients, inducing EC Ruminococcus torques, Coprococcus comes, Megasphaera elsdenii, Acidaminococcus intestini, and Barnesiella viscericola.",What is the relation between PCOS and Coprococcus?,positive
atopic dermatitis,Staphylococcus lentus,"Here, we show that postnatal exposure to specific skin commensal Staphylococcus lentus (S.聽lentus) promotes the extent of atopic dermatitis (AD)-like inflammation in adults through priming of group 2 innate lymphoid cells (ILC2s).",What is the relation between atopic dermatitis and Staphylococcus lentus?,positive
atopic dermatitis,Staphylococcus,"Here, we show that postnatal exposure to specific skin commensal Staphylococcus lentus (S.聽lentus) promotes the extent of atopic dermatitis (AD)-like inflammation in adults through priming of group 2 innate lymphoid cells (ILC2s).",What is the relation between atopic dermatitis and Staphylococcus?,positive
dermatitis,Staphylococcus lentus,"Here, we show that postnatal exposure to specific skin commensal Staphylococcus lentus (S.聽lentus) promotes the extent of atopic dermatitis (AD)-like inflammation in adults through priming of group 2 innate lymphoid cells (ILC2s).",What is the relation between dermatitis and Staphylococcus lentus?,positive
dermatitis,Staphylococcus,"Here, we show that postnatal exposure to specific skin commensal Staphylococcus lentus (S.聽lentus) promotes the extent of atopic dermatitis (AD)-like inflammation in adults through priming of group 2 innate lymphoid cells (ILC2s).",What is the relation between dermatitis and Staphylococcus?,positive
AD,Staphylococcus lentus,"Here, we show that postnatal exposure to specific skin commensal Staphylococcus lentus (S.聽lentus) promotes the extent of atopic dermatitis (AD)-like inflammation in adults through priming of group 2 innate lymphoid cells (ILC2s).",What is the relation between AD and Staphylococcus lentus?,positive
AD,Staphylococcus,"Here, we show that postnatal exposure to specific skin commensal Staphylococcus lentus (S.聽lentus) promotes the extent of atopic dermatitis (AD)-like inflammation in adults through priming of group 2 innate lymphoid cells (ILC2s).",What is the relation between AD and Staphylococcus?,positive
CHD,Gemella morbillorum,"Reads from 2 microbes were significantly associated with CHD: Gemella morbillorum (HR, 3.14 [95% CI, 1.92-5.12]; P=4.86脳10-6) and Pseudomonas species NFACC19-2 (HR, 3.22 [95% CI, 2.03-5.41]; P=1.58脳10-6).",What is the relation between CHD and Gemella morbillorum?,relate
CHD,Pseudomonas,"Reads from 2 microbes were significantly associated with CHD: Gemella morbillorum (HR, 3.14 [95% CI, 1.92-5.12]; P=4.86脳10-6) and Pseudomonas species NFACC19-2 (HR, 3.22 [95% CI, 2.03-5.41]; P=1.58脳10-6).",What is the relation between CHD and Pseudomonas?,relate
CHD,Gemella,"Reads from 2 microbes were significantly associated with CHD: Gemella morbillorum (HR, 3.14 [95% CI, 1.92-5.12]; P=4.86脳10-6) and Pseudomonas species NFACC19-2 (HR, 3.22 [95% CI, 2.03-5.41]; P=1.58脳10-6).",What is the relation between CHD and Gemella?,relate
CHD,Pseudomonas,The association of G morbillorum and Pseudomonas species reads with CHD raises the possibilities that microbes may drive atherosclerotic inflammation and that treatments for specific pathogens may provide clinical utility for CHD reduction.,What is the relation between CHD and Pseudomonas?,positive
obese,Megamonas,"Here, we conducted shotgun metagenomic sequencing in a Chinese cohort of 631 obese subjects and 374 normal-weight controls and identified a Megamonas-dominated, enterotype-like cluster enriched in obese subjects.",What is the relation between obese and Megamonas?,positive
obesity,Megamonas,"Among this cohort, the presence of Megamonas and polygenic risk exhibited an additive impact on obesity.",What is the relation between obesity and Megamonas?,relate
lung cancer,Streptococcus,"Specifically, patients in the high-risk group had significantly higher alpha diversity (p < 0.05) and were characterized by an enrichment of lung cancer-related genera such as Streptococcus.",What is the relation between lung cancer and Streptococcus?,positive
cancer,Streptococcus,"Specifically, patients in the high-risk group had significantly higher alpha diversity (p < 0.05) and were characterized by an enrichment of lung cancer-related genera such as Streptococcus.",What is the relation between cancer and Streptococcus?,positive
inflammatory bowel disease,Bifidobacterium,Sialylated immunoglobulin G (IgG) is a vital glycoprotein in breast milk with the ability to promote the growth of Bifidobacterium in gut microbiota and relieve inflammatory bowel disease (IBD) symptoms in vitro.,What is the relation between inflammatory bowel disease and Bifidobacterium?,negative
IBD,Bifidobacterium,Sialylated immunoglobulin G (IgG) is a vital glycoprotein in breast milk with the ability to promote the growth of Bifidobacterium in gut microbiota and relieve inflammatory bowel disease (IBD) symptoms in vitro.,What is the relation between IBD and Bifidobacterium?,negative
CRC,Lactobacilli,"Furthermore, the correlation analysis of metabolomes and 16S rDNA revealed that MX could restore the disorders of gut microbes by specifically enriching the abundance of Lactobacilli to improve bile acid metabolism, which further activated the farnesoid X receptor (FXR) in CRC mice, then the improvement of gut dysbiosis could inhibit the development of CRC.",What is the relation between CRC and Lactobacilli?,negative
CRC,Lactobacillus,"Collectively, our effort confirmed MX has the capacity to intervene the development of CRC and further discovered that it targets Lactobacillus-bile acid-intestinal FXR axis, which can be regarded as a candidate medicine for future drug discovery and development against CRC.",What is the relation between CRC and Lactobacillus?,negative
ED,Roseburia,E-CON feces were transplanted into mice named EH group and E-DSS feces were transplanted into mice in the ED group and Roseburia bacteria treatment named EDR groups.,What is the relation between ED and Roseburia?,negative
ED,Roseburia,"Finally, colitis mice in HD group and ED group were administrated with Roseburia bacteria, and the treatment effect was evaluated by H&E, PAS, immunohistochemistry, and other experimental methods.",What is the relation between ED and Roseburia?,negative
chronic kidney disease,Escherichia coli,"For example, in Escherichia coli, S-sulfhydration of tryptophanase regulates uremic toxin production and chronic kidney disease in mice.",What is the relation between chronic kidney disease and Escherichia coli?,positive
chronic kidney disease,Escherichia,"For example, in Escherichia coli, S-sulfhydration of tryptophanase regulates uremic toxin production and chronic kidney disease in mice.",What is the relation between chronic kidney disease and Escherichia?,positive
hepatitis B,Helicobacter pylori,"Numerous studies have elucidated the role of microorganisms, such as Helicobacter pylori (H. pylori), as well as viruses for example human papillomavirus (HPV), hepatitis B virus (HBV), and hepatitis C virus (HCV), in the development of human malignancies.",What is the relation between hepatitis B and Helicobacter pylori?,relate
hepatitis B,Helicobacter,"Numerous studies have elucidated the role of microorganisms, such as Helicobacter pylori (H. pylori), as well as viruses for example human papillomavirus (HPV), hepatitis B virus (HBV), and hepatitis C virus (HCV), in the development of human malignancies.",What is the relation between hepatitis B and Helicobacter?,relate
hepatitis C,Helicobacter pylori,"Numerous studies have elucidated the role of microorganisms, such as Helicobacter pylori (H. pylori), as well as viruses for example human papillomavirus (HPV), hepatitis B virus (HBV), and hepatitis C virus (HCV), in the development of human malignancies.",What is the relation between hepatitis C and Helicobacter pylori?,relate
hepatitis C,Helicobacter,"Numerous studies have elucidated the role of microorganisms, such as Helicobacter pylori (H. pylori), as well as viruses for example human papillomavirus (HPV), hepatitis B virus (HBV), and hepatitis C virus (HCV), in the development of human malignancies.",What is the relation between hepatitis C and Helicobacter?,relate
vaginal,Lactobacillus crispatus,"Total IgA and IgG were abundant and frequently demonstrated ex vivo binding to the key vaginal bacteria species Gardnerella vaginalis, Prevotella bivia, Lactobacillus iners, and Lactobacillus crispatus, which are largely microbe-specific.",What is the relation between vaginal and Lactobacillus crispatus?,relate
vaginal,Gardnerella vaginalis,"Total IgA and IgG were abundant and frequently demonstrated ex vivo binding to the key vaginal bacteria species Gardnerella vaginalis, Prevotella bivia, Lactobacillus iners, and Lactobacillus crispatus, which are largely microbe-specific.",What is the relation between vaginal and Gardnerella vaginalis?,relate
vaginal,Lactobacillus iners,"Total IgA and IgG were abundant and frequently demonstrated ex vivo binding to the key vaginal bacteria species Gardnerella vaginalis, Prevotella bivia, Lactobacillus iners, and Lactobacillus crispatus, which are largely microbe-specific.",What is the relation between vaginal and Lactobacillus iners?,relate
vaginal,Prevotella bivia,"Total IgA and IgG were abundant and frequently demonstrated ex vivo binding to the key vaginal bacteria species Gardnerella vaginalis, Prevotella bivia, Lactobacillus iners, and Lactobacillus crispatus, which are largely microbe-specific.",What is the relation between vaginal and Prevotella bivia?,relate
vaginal,Lactobacillus,"Total IgA and IgG were abundant and frequently demonstrated ex vivo binding to the key vaginal bacteria species Gardnerella vaginalis, Prevotella bivia, Lactobacillus iners, and Lactobacillus crispatus, which are largely microbe-specific.",What is the relation between vaginal and Lactobacillus?,relate
vaginal,Gardnerella,"Total IgA and IgG were abundant and frequently demonstrated ex vivo binding to the key vaginal bacteria species Gardnerella vaginalis, Prevotella bivia, Lactobacillus iners, and Lactobacillus crispatus, which are largely microbe-specific.",What is the relation between vaginal and Gardnerella?,relate
vaginal,Prevotella,"Total IgA and IgG were abundant and frequently demonstrated ex vivo binding to the key vaginal bacteria species Gardnerella vaginalis, Prevotella bivia, Lactobacillus iners, and Lactobacillus crispatus, which are largely microbe-specific.",What is the relation between vaginal and Prevotella?,relate
cystic fibrosis,Bacteroides,"Persons with cystic fibrosis (CF), starting in early life, show intestinal microbiome dysbiosis characterized in part by a decreased relative abundance of the genus Bacteroides.",What is the relation between cystic fibrosis and Bacteroides?,negative
cystic fibrosis,Bacteroides,The introduction of Bacteroides-supplemented stool from infants with cystic fibrosis into the gut of CftrF508del mice results in higher propionate in the stool as well as the reduction in several systemic pro-inflammatory cytokines.,What is the relation between cystic fibrosis and Bacteroides?,negative
cystic fibrosis,Bacteroides,"Taken together, these data demonstrate a key role for Bacteroides and microbially produced propionate in modulating inflammation, gut microbial ecology, and the gut-lung axis in cystic fibrosis.",What is the relation between cystic fibrosis and Bacteroides?,relate
PLS,Candida albicans,"Therefore we compared typical ML partial least square-discriminant analysis (PLS-DA) and DL one dimensional convolution neural network (1D-CNN) based pathogenic microbe identification on 12,000 Raman spectra from six species of microbe (i.e., K. aerogenes (Klebsiella aerogenes), C. albicans (Candida albicans), C. glabrata (Candida glabrata), Group A Strep.",What is the relation between PLS and Candida albicans?,relate
PLS,Klebsiella,"Therefore we compared typical ML partial least square-discriminant analysis (PLS-DA) and DL one dimensional convolution neural network (1D-CNN) based pathogenic microbe identification on 12,000 Raman spectra from six species of microbe (i.e., K. aerogenes (Klebsiella aerogenes), C. albicans (Candida albicans), C. glabrata (Candida glabrata), Group A Strep.",What is the relation between PLS and Klebsiella?,relate
depression,Parabacteroides,"Gpr35-/- mice and individuals with depression have increased Parabacteroides distasonis, and its colonization to wild-type mice induces depression.",What is the relation between depression and Parabacteroides?,positive
Acne,Bifidobacterium,"The mediation MR analysis revealed 2 potential causal relationships, namely, Bifidobacterium-DHA-Acne and Bifidobacterium-Degree of Unsaturation-Acne.",What is the relation between Acne and Bifidobacterium?,negative
tuberculosis,Mycobacterium,"Tuberculosis remains a formidable global health challenge, with Mycobacterium tuberculosis responsible for聽millions of cases and deaths annually.",What is the relation between tuberculosis and Mycobacterium?,positive
Lyme disease,Borrelia burgdorferi,"In the nearly 50 years since the discovery of Lyme disease, Borrelia burgdorferi has emerged as an unlikely workhorse of microbiology.",What is the relation between Lyme disease and Borrelia burgdorferi?,relate
Lyme disease,Borrelia,"In the nearly 50 years since the discovery of Lyme disease, Borrelia burgdorferi has emerged as an unlikely workhorse of microbiology.",What is the relation between Lyme disease and Borrelia?,relate
obesity,Megamonas,"robustly identified an obesity-related enterotype-like cluster, Megamonas, and demonstrated its clinical relevance through cohort studies, mice, and cell experiments.",What is the relation between obesity and Megamonas?,relate
inflammatory bowel disease,Bacteroidales,survey invertible DNA sites in Bacteroidales from patients with inflammatory bowel disease (IBD) and healthy control individuals.,What is the relation between inflammatory bowel disease and Bacteroidales?,negative
IBD,Bacteroidales,survey invertible DNA sites in Bacteroidales from patients with inflammatory bowel disease (IBD) and healthy control individuals.,What is the relation between IBD and Bacteroidales?,negative
bacterial vaginosis,Lactobacillus crispatus,"Colonization of the vaginal space with bacteria such as Gardnerella vaginalis and Mobiluncus mulieris is associated with increased risk for STIs, bacterial vaginosis, and preterm birth, while Lactobacillus crispatus is associated with optimal reproductive health.",What is the relation between bacterial vaginosis and Lactobacillus crispatus?,negative
bacterial vaginosis,Gardnerella vaginalis,"Colonization of the vaginal space with bacteria such as Gardnerella vaginalis and Mobiluncus mulieris is associated with increased risk for STIs, bacterial vaginosis, and preterm birth, while Lactobacillus crispatus is associated with optimal reproductive health.",What is the relation between bacterial vaginosis and Gardnerella vaginalis?,positive
bacterial vaginosis,Mobiluncus mulieris,"Colonization of the vaginal space with bacteria such as Gardnerella vaginalis and Mobiluncus mulieris is associated with increased risk for STIs, bacterial vaginosis, and preterm birth, while Lactobacillus crispatus is associated with optimal reproductive health.",What is the relation between bacterial vaginosis and Mobiluncus mulieris?,positive
bacterial vaginosis,Lactobacillus,"Colonization of the vaginal space with bacteria such as Gardnerella vaginalis and Mobiluncus mulieris is associated with increased risk for STIs, bacterial vaginosis, and preterm birth, while Lactobacillus crispatus is associated with optimal reproductive health.",What is the relation between bacterial vaginosis and Lactobacillus?,negative
bacterial vaginosis,Gardnerella,"Colonization of the vaginal space with bacteria such as Gardnerella vaginalis and Mobiluncus mulieris is associated with increased risk for STIs, bacterial vaginosis, and preterm birth, while Lactobacillus crispatus is associated with optimal reproductive health.",What is the relation between bacterial vaginosis and Gardnerella?,positive
bacterial vaginosis,Mobiluncus,"Colonization of the vaginal space with bacteria such as Gardnerella vaginalis and Mobiluncus mulieris is associated with increased risk for STIs, bacterial vaginosis, and preterm birth, while Lactobacillus crispatus is associated with optimal reproductive health.",What is the relation between bacterial vaginosis and Mobiluncus?,positive
vaginal,Lactobacillus crispatus,"Colonization of the vaginal space with bacteria such as Gardnerella vaginalis and Mobiluncus mulieris is associated with increased risk for STIs, bacterial vaginosis, and preterm birth, while Lactobacillus crispatus is associated with optimal reproductive health.",What is the relation between vaginal and Lactobacillus crispatus?,negative
vaginal,Gardnerella vaginalis,"Colonization of the vaginal space with bacteria such as Gardnerella vaginalis and Mobiluncus mulieris is associated with increased risk for STIs, bacterial vaginosis, and preterm birth, while Lactobacillus crispatus is associated with optimal reproductive health.",What is the relation between vaginal and Gardnerella vaginalis?,positive
vaginal,Mobiluncus mulieris,"Colonization of the vaginal space with bacteria such as Gardnerella vaginalis and Mobiluncus mulieris is associated with increased risk for STIs, bacterial vaginosis, and preterm birth, while Lactobacillus crispatus is associated with optimal reproductive health.",What is the relation between vaginal and Mobiluncus mulieris?,positive
vaginal,Lactobacillus,"Colonization of the vaginal space with bacteria such as Gardnerella vaginalis and Mobiluncus mulieris is associated with increased risk for STIs, bacterial vaginosis, and preterm birth, while Lactobacillus crispatus is associated with optimal reproductive health.",What is the relation between vaginal and Lactobacillus?,negative
