DIETARY,MICROBE,EVIDENCE,QUESTIONS,RELATION
Hesperidin,Bifidobacterium,"A similar effect was also described for the polyphenol hesperidin, found in citrus fruits. Polyphenols are natural products of plant extraction potentially used as prebiotics. Dietary supplementation of polyphenols has proven to have cardiovascular benefits, because they reduce blood pressure and improve endothelial dysfunction and lipid profile [135]. Hesperidin promotes the growth of beneficial bacteria, such asLactobacillusandBifidobacterium, stimulates the production of SCFAs, and lowers plasma levels of pro-inflammatory cytokines such as IL-1β, TNF-α, and IL-7",What is the relationship between citrus fruits and Bifidobacterium?,positive
alcohol,Actinobacteria(Actinomycetota),"Alcohol intake or exposure disrupts the ecological balance of the gut microbiota in many ways, and gut microbiota dysbiosis promotes ALD progression through complex mechanisms (Figure 2). In this process, alcohol directly leads to the overgrowth and enrichment of some gut microbiota, such as Actinobacteria, Proteobacteria, Enterobacteriaceae, Corynebacterium and Streptococcus",What is the relationship between alcohol and Actinobacteria(Actinomycetota)?,positive
alcohol,Proteobacteria(Pseudomonadota),"Alcohol intake or exposure disrupts the ecological balance of the gut microbiota in many ways, and gut microbiota dysbiosis promotes ALD progression through complex mechanisms (Figure 3). In this process, alcohol directly leads to the overgrowth and enrichment of some gut microbiota, such as Actinobacteria, Proteobacteria, Enterobacteriaceae, Corynebacterium and Streptococcus",What is the relationship between alcohol and Proteobacteria(Pseudomonadota)?,positive
alcohol,Enterobacteriaceae,"Alcohol intake or exposure disrupts the ecological balance of the gut microbiota in many ways, and gut microbiota dysbiosis promotes ALD progression through complex mechanisms (Figure 4). In this process, alcohol directly leads to the overgrowth and enrichment of some gut microbiota, such as Actinobacteria, Proteobacteria, Enterobacteriaceae, Corynebacterium and Streptococcus",What is the relationship between alcohol and Enterobacteriaceae?,positive
alcohol,Corynebacterium,"Alcohol intake or exposure disrupts the ecological balance of the gut microbiota in many ways, and gut microbiota dysbiosis promotes ALD progression through complex mechanisms (Figure 5). In this process, alcohol directly leads to the overgrowth and enrichment of some gut microbiota, such as Actinobacteria, Proteobacteria, Enterobacteriaceae, Corynebacterium and Streptococcus",What is the relationship between alcohol and Corynebacterium?,positive
alcohol,Streptococcus,"Alcohol intake or exposure disrupts the ecological balance of the gut microbiota in many ways, and gut microbiota dysbiosis promotes ALD progression through complex mechanisms (Figure 6). In this process, alcohol directly leads to the overgrowth and enrichment of some gut microbiota, such as Actinobacteria, Proteobacteria, Enterobacteriaceae, Corynebacterium and Streptococcus",What is the relationship between alcohol and Streptococcus?,positive
alcohol,Actinobacteria,"In this process, alcohol directly leads to the overgrowth and enrichment of some gut microbiota, such as Actinobacteria, Proteobacteria, Enterobacteriaceae, Corynebacterium and Streptococcus, while the abundance of other gut microbiota subsequently decreases, such as Bacteroidetes and Akkermansia genera of the phyla Verrucomicrobia, Lactobacillus, Ruminococcus, Faecalibacterium and Roseburia of the phylum Firmicutes",What is the relationship between alcohol and Actinobacteria?,positive
alcohol,Proteobacteria,"In this process, alcohol directly leads to the overgrowth and enrichment of some gut microbiota, such as Actinobacteria, Proteobacteria, Enterobacteriaceae, Corynebacterium and Streptococcus, while the abundance of other gut microbiota subsequently decreases, such as Bacteroidetes and Akkermansia genera of the phyla Verrucomicrobia, Lactobacillus, Ruminococcus, Faecalibacterium and Roseburia of the phylum Firmicutes",What is the relationship between alcohol and Proteobacteria?,positive
alcohol,Enterobacteriaceae,"In this process, alcohol directly leads to the overgrowth and enrichment of some gut microbiota, such as Actinobacteria, Proteobacteria, Enterobacteriaceae, Corynebacterium and Streptococcus, while the abundance of other gut microbiota subsequently decreases, such as Bacteroidetes and Akkermansia genera of the phyla Verrucomicrobia, Lactobacillus, Ruminococcus, Faecalibacterium and Roseburia of the phylum Firmicutes",What is the relationship between alcohol and Enterobacteriaceae?,positive
alcohol,Corynebacterium,"In this process, alcohol directly leads to the overgrowth and enrichment of some gut microbiota, such as Actinobacteria, Proteobacteria, Enterobacteriaceae, Corynebacterium and Streptococcus, while the abundance of other gut microbiota subsequently decreases, such as Bacteroidetes and Akkermansia genera of the phyla Verrucomicrobia, Lactobacillus, Ruminococcus, Faecalibacterium and Roseburia of the phylum Firmicutes",What is the relationship between alcohol and Corynebacterium?,positive
alcohol,Streptococcus,"In this process, alcohol directly leads to the overgrowth and enrichment of some gut microbiota, such as Actinobacteria, Proteobacteria, Enterobacteriaceae, Corynebacterium and Streptococcus, while the abundance of other gut microbiota subsequently decreases, such as Bacteroidetes and Akkermansia genera of the phyla Verrucomicrobia, Lactobacillus, Ruminococcus, Faecalibacterium and Roseburia of the phylum Firmicutes",What is the relationship between alcohol and Streptococcus?,positive
alcohol,Bacteroidetes(Bacteroidia),"In this process, alcohol directly leads to the overgrowth and enrichment of some gut microbiota, such as Actinobacteria, Proteobacteria, Enterobacteriaceae, Corynebacterium and Streptococcus, while the abundance of other gut microbiota subsequently decreases, such as Bacteroidetes and Akkermansia genera of the phyla Verrucomicrobia, Lactobacillus, Ruminococcus, Faecalibacterium and Roseburia of the phylum Firmicutes",What is the relationship between alcohol and Bacteroidetes(Bacteroidia)?,negative
alcohol,Akkermansia,"In this process, alcohol directly leads to the overgrowth and enrichment of some gut microbiota, such as Actinobacteria, Proteobacteria, Enterobacteriaceae, Corynebacterium and Streptococcus, while the abundance of other gut microbiota subsequently decreases, such as Bacteroidetes and Akkermansia genera of the phyla Verrucomicrobia, Lactobacillus, Ruminococcus, Faecalibacterium and Roseburia of the phylum Firmicutes",What is the relationship between alcohol and Akkermansia?,negative
alcohol,Lactobacillus,"In this process, alcohol directly leads to the overgrowth and enrichment of some gut microbiota, such as Actinobacteria, Proteobacteria, Enterobacteriaceae, Corynebacterium and Streptococcus, while the abundance of other gut microbiota subsequently decreases, such as Bacteroidetes and Akkermansia genera of the phyla Verrucomicrobia, Lactobacillus, Ruminococcus, Faecalibacterium and Roseburia of the phylum Firmicutes",What is the relationship between alcohol and Lactobacillus?,negative
alcohol,Ruminococcus,"In this process, alcohol directly leads to the overgrowth and enrichment of some gut microbiota, such as Actinobacteria, Proteobacteria, Enterobacteriaceae, Corynebacterium and Streptococcus, while the abundance of other gut microbiota subsequently decreases, such as Bacteroidetes and Akkermansia genera of the phyla Verrucomicrobia, Lactobacillus, Ruminococcus, Faecalibacterium and Roseburia of the phylum Firmicutes",What is the relationship between alcohol and Ruminococcus?,negative
alcohol,Faecalibacterium,"In this process, alcohol directly leads to the overgrowth and enrichment of some gut microbiota, such as Actinobacteria, Proteobacteria, Enterobacteriaceae, Corynebacterium and Streptococcus, while the abundance of other gut microbiota subsequently decreases, such as Bacteroidetes and Akkermansia genera of the phyla Verrucomicrobia, Lactobacillus, Ruminococcus, Faecalibacterium and Roseburia of the phylum Firmicutes",What is the relationship between alcohol and Faecalibacterium?,negative
alcohol,Roseburia,"In this process, alcohol directly leads to the overgrowth and enrichment of some gut microbiota, such as Actinobacteria, Proteobacteria, Enterobacteriaceae, Corynebacterium and Streptococcus, while the abundance of other gut microbiota subsequently decreases, such as Bacteroidetes and Akkermansia genera of the phyla Verrucomicrobia, Lactobacillus, Ruminococcus, Faecalibacterium and Roseburia of the phylum Firmicutes",What is the relationship between alcohol and Roseburia?,negative
"high-fat, high-cholesterol diet",Prevotella spp.,"Moreover, a diet composed of high fat and high cholesterol induces a reduction in the relative abundance of Prevotella spp., which is associated with reduced expression of pro-IL-1β in the intestine of mice carrying a mutation that predisposes them to spontaneous inflammatory bone disease","What is the relationship between high-fat, high-cholesterol diet and Prevotella spp.?",negative
methionine-choline-deficient (MCD) diet,Bifidobacterium,"Okubo et al. investigated the effects of Lactobacillus caseistrain Shirota (LcS) on methionine-choline-deficient (MCD) diet-induced NASH mice.They found that the MCD diet resulted in significant reduction in lactic acid bacteria (Bifidobacterium and Lactobacillusin) in feces, but values were increased by LcS supplementation.",What is the relationship between methionine-choline-deficient (MCD) diet and Bifidobacterium?,negative
methionine-choline-deficient (MCD)cdiet,Lactobacillusin,"Okubo et al. investigated the effects of Lactobacillus caseistrain Shirota (LcS) on methionine-choline-deficient (MCD) diet-induced NASH mice.They found that the MCD diet resulted in significant reduction in lactic acid bacteria (Bifidobacterium and Lactobacillusin) in feces, but values were increased by LcS supplementation.",What is the relationship between methionine-choline-deficient (MCD)cdiet and Lactobacillusin?,negative
Gluten-free Diet GFD,Escherichia coli,"For instance, several authors reported that the GFD can reduce the abundance of pathogenic microorganisms, as Escherichia coli, Staphylococcus in GI diseases, even though a reduction of potentially beneficial bacteria, like Bifidobacterium and Lactobacillus was described too[Citation164].The Gluten-free Diet GFD is a diet which excludes gluten-containing foods, using naturally gluten-free (GF) products (as amaranth, quinoa, buckwheat), artificially GF ones (like GF bakery products, GF pasta) or both",What is the relationship between Gluten-free Diet GFD and Escherichia coli?,negative
Gluten-free Diet GFD,Staphylococcus,"For instance, several authors reported that the GFD can reduce the abundance of pathogenic microorganisms, as Escherichia coli, Staphylococcus in GI diseases, even though a reduction of potentially beneficial bacteria, like Bifidobacterium and Lactobacillus was described too[Citation165].The Gluten-free Diet GFD is a diet which excludes gluten-containing foods, using naturally gluten-free (GF) products (as amaranth, quinoa, buckwheat), artificially GF ones (like GF bakery products, GF pasta) or both",What is the relationship between Gluten-free Diet GFD and Staphylococcus?,negative
Gluten-free Diet GFD,Bifidobacterium,"For instance, several authors reported that the GFD can reduce the abundance of pathogenic microorganisms, as Escherichia coli, Staphylococcus in GI diseases, even though a reduction of potentially beneficial bacteria, like Bifidobacterium and Lactobacillus was described too[Citation166].The Gluten-free Diet GFD is a diet which excludes gluten-containing foods, using naturally gluten-free (GF) products (as amaranth, quinoa, buckwheat), artificially GF ones (like GF bakery products, GF pasta) or both",What is the relationship between Gluten-free Diet GFD and Bifidobacterium?,negative
Gluten-free Diet GFD,Lactobacillus,"For instance, several authors reported that the GFD can reduce the abundance of pathogenic microorganisms, as Escherichia coli, Staphylococcus in GI diseases, even though a reduction of potentially beneficial bacteria, like Bifidobacterium and Lactobacillus was described too[Citation167].The Gluten-free Diet GFD is a diet which excludes gluten-containing foods, using naturally gluten-free (GF) products (as amaranth, quinoa, buckwheat), artificially GF ones (like GF bakery products, GF pasta) or both",What is the relationship between Gluten-free Diet GFD and Lactobacillus?,negative
ketogenic diet,Bifidobacteria,"The Ketogenic Diet (KD) is a high-fat, normo-protein, low-carbohydrate diet which leads to an increase of lipolysis and, thus, of ketone bodies (acetoacetate, β-hydroxybutyrate, and acetone) due to the scarce intake of dietary carbohydrate[Citation169].in fact KD can reduce beneficial gut microbiota bacteria, such as Bifidobacteria, and increase detrimental bacteria, such as Escherichia coli, especially if followed for a long time",What is the relationship between ketogenic diet and Bifidobacteria?,negative
ketogenic diet,Escherichia coli,"The Ketogenic Diet (KD) is a high-fat, normo-protein, low-carbohydrate diet which leads to an increase of lipolysis and, thus, of ketone bodies (acetoacetate, β-hydroxybutyrate, and acetone) due to the scarce intake of dietary carbohydrate[Citation169].in fact KD can reduce beneficial gut microbiota bacteria, such as Bifidobacteria, and increase detrimental bacteria, such as Escherichia coli, especially if followed for a long time",What is the relationship between ketogenic diet and Escherichia coli?,positive
high in animal protein,Bacteroides spp.(Bacteroides sp.),"A diet that is high in animal protein increasesBacteroidesspp.,Alistipesspp., andBilophilaspp., while it decreases the beneficial bacteriaLactobacillusspp.,Roseburiaspp., andE. rectale, (Figure 1) affecting the bacterial diversity in the gut microbiome",What is the relationship between high in animal protein and Bacteroides spp.(Bacteroides sp.)?,positive
high in animal protein,Alistipes sp.,"A diet that is high in animal protein increasesBacteroidesspp.,Alistipesspp., andBilophilaspp., while it decreases the beneficial bacteriaLactobacillusspp.,Roseburiaspp., andE. rectale, (Figure 2) affecting the bacterial diversity in the gut microbiome",What is the relationship between high in animal protein and Alistipes sp.?,positive
high in animal protein,Bilophila spp.(Bilophila sp.),"A diet that is high in animal protein increasesBacteroidesspp.,Alistipesspp., andBilophilaspp., while it decreases the beneficial bacteriaLactobacillusspp.,Roseburiaspp., andE. rectale, (Figure 3) affecting the bacterial diversity in the gut microbiome",What is the relationship between high in animal protein and Bilophila spp.(Bilophila sp.)?,positive
high in animal protein,Lactobacillus spp.(Lactobacillus sp.),"A diet that is high in animal protein increasesBacteroidesspp.,Alistipesspp., andBilophilaspp., while it decreases the beneficial bacteriaLactobacillusspp.,Roseburiaspp., andE. rectale, (Figure 4) affecting the bacterial diversity in the gut microbiome",What is the relationship between high in animal protein and Lactobacillus spp.(Lactobacillus sp.)?,negative
high in animal protein,Roseburia spp.(Roseburia sp.),"A diet that is high in animal protein increasesBacteroidesspp.,Alistipesspp., andBilophilaspp., while it decreases the beneficial bacteriaLactobacillusspp.,Roseburiaspp., andE. rectale, (Figure 5) affecting the bacterial diversity in the gut microbiome",What is the relationship between high in animal protein and Roseburia spp.(Roseburia sp.)?,negative
high in animal protein,E. rectale(Agathobacter rectalis),"A diet that is high in animal protein increasesBacteroidesspp.,Alistipesspp., andBilophilaspp., while it decreases the beneficial bacteriaLactobacillusspp.,Roseburiaspp., andE. rectale, (Figure 6) affecting the bacterial diversity in the gut microbiome",What is the relationship between high in animal protein and E. rectale(Agathobacter rectalis)?,negative
"high-fat, high-sugar diet",Bacteroidetes(Bacteroidia),"A recent study that was conducted on mice, who were fed either a high-fat, high-sugar diet, or a low-fat, high-sugar diet, found that the mice who were fed the high-fat, high-sugar diet had a reduction inBacteroidetes, and an increase in both Firmicutes and Mollicutes","What is the relationship between high-fat, high-sugar diet and Bacteroidetes(Bacteroidia)?",negative
"high-fat, high-sugar diet",Firmicutes(Bacillota),"A recent study that was conducted on mice, who were fed either a high-fat, high-sugar diet, or a low-fat, high-sugar diet, found that the mice who were fed the high-fat, high-sugar diet had a reduction inBacteroidetes, and an increase in both Firmicutes and Mollicutes","What is the relationship between high-fat, high-sugar diet and Firmicutes(Bacillota)?",positive
"high-fat, high-sugar diet",Mollicutes,"A recent study that was conducted on mice, who were fed either a high-fat, high-sugar diet, or a low-fat, high-sugar diet, found that the mice who were fed the high-fat, high-sugar diet had a reduction inBacteroidetes, and an increase in both Firmicutes and Mollicutes","What is the relationship between high-fat, high-sugar diet and Mollicutes?",positive
high-fat diet,Lactica,"A study was conducted by Zhang et al., which found that when mice were fed a high-fat diet, there was a significant reduction in lactic acid andEnterococcus",What is the relationship between high-fat diet and Lactica?,negative
high-fat diet,Enterococcus,"A study was conducted by Zhang et al., which found that when mice were fed a high-fat diet, there was a significant reduction in lactic acid andEnterococcus",What is the relationship between high-fat diet and Enterococcus?,negative
high-fat diet,Enterobacteriaceae,"In addition, this study found that Enterobacteriaceae,Escherichia,Klebsiella, andShigellawere also found in higher levels in the high-fat diet group.",What is the relationship between high-fat diet and Enterobacteriaceae?,positive
high-fat diet,Escherichia,"In addition, this study found that Enterobacteriaceae,Escherichia,Klebsiella, andShigellawere also found in higher levels in the high-fat diet group.",What is the relationship between high-fat diet and Escherichia?,positive
high-fat diet,Klebsiella,"In addition, this study found that Enterobacteriaceae,Escherichia,Klebsiella, andShigellawere also found in higher levels in the high-fat diet group.",What is the relationship between high-fat diet and Klebsiella?,positive
high-fat diet,Shigella,"In addition, this study found that Enterobacteriaceae,Escherichia,Klebsiella, andShigellawere also found in higher levels in the high-fat diet group.",What is the relationship between high-fat diet and Shigella?,positive
ketogenic diet,Firmicutes(Bacillota),"A study that was conducted on a murine model, found that, unlike the traditional high-fat diet, the ketogenic diet decreased Firmicutes and increasedBacteroidetes",What is the relationship between ketogenic diet and Firmicutes(Bacillota)?,negative
ketogenic diet,Bacteroidetes(Bacteroidia),"A study that was conducted on a murine model, found that, unlike the traditional high-fat diet, the ketogenic diet decreased Firmicutes and increasedBacteroidetes",What is the relationship between ketogenic diet and Bacteroidetes(Bacteroidia)?,positive
ketogenic diet,Akkermansia muciniphila,"Researchers found that the ketogenic diet increasedA. muciniphila,Parabacteroidesspp., while decreasing alpha diversity",What is the relationship between ketogenic diet and Akkermansia muciniphila?,positive
ketogenic diet,Parabacteroides spp.(Parabacteroides sp.),"Researchers found that the ketogenic diet increasedA. muciniphila,Parabacteroidesspp., while decreasing alpha diversity",What is the relationship between ketogenic diet and Parabacteroides spp.(Parabacteroides sp.)?,positive
ketogenic diet,Akkermansia muciniphila,"Another study that was conducted on mice, found similar results, in which the ketogenic diet increasedAkkermansia muciniphilaandLactobacillus, while it reduced the inflammatory bacteriaDesulfovibrioandTuricibacter",What is the relationship between ketogenic diet and Akkermansia muciniphila?,positive
ketogenic diet,Lactobacillus,"Another study that was conducted on mice, found similar results, in which the ketogenic diet increasedAkkermansia muciniphilaandLactobacillus, while it reduced the inflammatory bacteriaDesulfovibrioandTuricibacter",What is the relationship between ketogenic diet and Lactobacillus?,positive
ketogenic diet,Desulfovibrio,"Another study that was conducted on mice, found similar results, in which the ketogenic diet increasedAkkermansia muciniphilaandLactobacillus, while it reduced the inflammatory bacteriaDesulfovibrioandTuricibacter",What is the relationship between ketogenic diet and Desulfovibrio?,negative
ketogenic diet,Turicibacter,"Another study that was conducted on mice, found similar results, in which the ketogenic diet increasedAkkermansia muciniphilaandLactobacillus, while it reduced the inflammatory bacteriaDesulfovibrioandTuricibacter",What is the relationship between ketogenic diet and Turicibacter?,negative
modified Mediterranean ketogenic diet (MMKD),Bifidobacterium,"When conducted on humans, similar results were found. A randomized, double-blind, crossover study, on the modified Mediterranean ketogenic diet (MMKD) versus the American Heart Association diet, found thatBifidobacteriumandLachnobacteriumwere reduced on the MMKD, andAkkermansia,Slackia, andChristensenellaceaewere increased [28]. They also found that MMKD decreased fecal lactate and acetate, while increasing propionate and butyrate",What is the relationship between modified Mediterranean ketogenic diet (MMKD) and Bifidobacterium?,negative
modified Mediterranean ketogenic diet (MMKD),Lachnobacterium,"When conducted on humans, similar results were found. A randomized, double-blind, crossover study, on the modified Mediterranean ketogenic diet (MMKD) versus the American Heart Association diet, found thatBifidobacteriumandLachnobacteriumwere reduced on the MMKD, andAkkermansia,Slackia, andChristensenellaceaewere increased [29]. They also found that MMKD decreased fecal lactate and acetate, while increasing propionate and butyrate",What is the relationship between modified Mediterranean ketogenic diet (MMKD) and Lachnobacterium?,negative
modified Mediterranean ketogenic diet (MMKD),Akkermansia,"When conducted on humans, similar results were found. A randomized, double-blind, crossover study, on the modified Mediterranean ketogenic diet (MMKD) versus the American Heart Association diet, found thatBifidobacteriumandLachnobacteriumwere reduced on the MMKD, andAkkermansia,Slackia, andChristensenellaceaewere increased [30]. They also found that MMKD decreased fecal lactate and acetate, while increasing propionate and butyrate",What is the relationship between modified Mediterranean ketogenic diet (MMKD) and Akkermansia?,positive
modified Mediterranean ketogenic diet (MMKD),Slackia,"When conducted on humans, similar results were found. A randomized, double-blind, crossover study, on the modified Mediterranean ketogenic diet (MMKD) versus the American Heart Association diet, found thatBifidobacteriumandLachnobacteriumwere reduced on the MMKD, andAkkermansia,Slackia, andChristensenellaceaewere increased [31]. They also found that MMKD decreased fecal lactate and acetate, while increasing propionate and butyrate",What is the relationship between modified Mediterranean ketogenic diet (MMKD) and Slackia?,positive
modified Mediterranean ketogenic diet (MMKD),Christensenellaceae,"When conducted on humans, similar results were found. A randomized, double-blind, crossover study, on the modified Mediterranean ketogenic diet (MMKD) versus the American Heart Association diet, found thatBifidobacteriumandLachnobacteriumwere reduced on the MMKD, andAkkermansia,Slackia, andChristensenellaceaewere increased [32]. They also found that MMKD decreased fecal lactate and acetate, while increasing propionate and butyrate",What is the relationship between modified Mediterranean ketogenic diet (MMKD) and Christensenellaceae?,positive
ketogenic diet,Actinobacteria(Actinomycetota),"The findings indicated that a ketogenic diet decreases the relative abundance ofActinobacteria,Lactobacillus, andBifidobacterium",What is the relationship between ketogenic diet and Actinobacteria(Actinomycetota)?,negative
ketogenic diet,Lactobacillus,"The findings indicated that a ketogenic diet decreases the relative abundance ofActinobacteria,Lactobacillus, andBifidobacterium",What is the relationship between ketogenic diet and Lactobacillus?,negative
ketogenic diet,Bifidobacterium,"The findings indicated that a ketogenic diet decreases the relative abundance ofActinobacteria,Lactobacillus, andBifidobacterium",What is the relationship between ketogenic diet and Bifidobacterium?,negative
Mediterranean diet,Lactobacillus,"They found that the microbiome of the study participants consuming the Mediterranean diet was significantly more diverse when compared to the microbiome of participants consuming the Western diet [42]. They also had a higher abundance ofLactobacillus,Clostridium,Faecalibacterium, andOscillospira, and a lower abundance ofRuminococcusandCoprococcus",What is the relationship between Mediterranean diet and Lactobacillus?,positive
Mediterranean diet,Clostridium,"They found that the microbiome of the study participants consuming the Mediterranean diet was significantly more diverse when compared to the microbiome of participants consuming the Western diet [43]. They also had a higher abundance ofLactobacillus,Clostridium,Faecalibacterium, andOscillospira, and a lower abundance ofRuminococcusandCoprococcus",What is the relationship between Mediterranean diet and Clostridium?,positive
Mediterranean diet,Faecalibacterium,"They found that the microbiome of the study participants consuming the Mediterranean diet was significantly more diverse when compared to the microbiome of participants consuming the Western diet [44]. They also had a higher abundance ofLactobacillus,Clostridium,Faecalibacterium, andOscillospira, and a lower abundance ofRuminococcusandCoprococcus",What is the relationship between Mediterranean diet and Faecalibacterium?,positive
Mediterranean diet,Oscillospira,"They found that the microbiome of the study participants consuming the Mediterranean diet was significantly more diverse when compared to the microbiome of participants consuming the Western diet [45]. They also had a higher abundance ofLactobacillus,Clostridium,Faecalibacterium, andOscillospira, and a lower abundance ofRuminococcusandCoprococcus",What is the relationship between Mediterranean diet and Oscillospira?,positive
Mediterranean diet,Ruminococcus,"They found that the microbiome of the study participants consuming the Mediterranean diet was significantly more diverse when compared to the microbiome of participants consuming the Western diet [46]. They also had a higher abundance ofLactobacillus,Clostridium,Faecalibacterium, andOscillospira, and a lower abundance ofRuminococcusandCoprococcus",What is the relationship between Mediterranean diet and Ruminococcus?,negative
Mediterranean diet,Coprococcus,"They found that the microbiome of the study participants consuming the Mediterranean diet was significantly more diverse when compared to the microbiome of participants consuming the Western diet [47]. They also had a higher abundance ofLactobacillus,Clostridium,Faecalibacterium, andOscillospira, and a lower abundance ofRuminococcusandCoprococcus",What is the relationship between Mediterranean diet and Coprococcus?,negative
Mediterranean diet,Enterorhabdus,"These results are consistent with a human study that was conducted by Pagliai et al., in which they found that, after a 3-month Mediterranean diet intervention, the subjects had a significant change in their gut microbiome composition, and had an abundance ofEnterorhabdus,Lachnoclostridium,andParabacteroides, with increased production of SCFAs",What is the relationship between Mediterranean diet and Enterorhabdus?,positive
Mediterranean diet,Lachnoclostridium,"These results are consistent with a human study that was conducted by Pagliai et al., in which they found that, after a 4-month Mediterranean diet intervention, the subjects had a significant change in their gut microbiome composition, and had an abundance ofEnterorhabdus,Lachnoclostridium,andParabacteroides, with increased production of SCFAs",What is the relationship between Mediterranean diet and Lachnoclostridium?,positive
Mediterranean diet,Parabacteroides,"These results are consistent with a human study that was conducted by Pagliai et al., in which they found that, after a 5-month Mediterranean diet intervention, the subjects had a significant change in their gut microbiome composition, and had an abundance ofEnterorhabdus,Lachnoclostridium,andParabacteroides, with increased production of SCFAs",What is the relationship between Mediterranean diet and Parabacteroides?,positive
Resistant starches,Bifidobacterium adolescentis,"For example, administration of Resistant starcheshas been shown to enrich Bifidobacterium adolescentis, Ruminoccocus bromii, Eubacterium rectale, and Parabacteroides distasonis in a subset of individuals dependent on Resistant starches",What is the relationship between Resistant starches and Bifidobacterium adolescentis?,positive
