DIETARY,MICROBE,EVIDENCE,QUESTIONS,RELATION
water,Anaerovorax odorimutans,"In this study, a novel anaerobic bacterial strain, MT110T, was isolated from a hadal sediment-water interface sample of the Mariana Trench at 10,890 m. The level of 16S rRNA gene sequence similarity and percentage of conserved proteins between strain MT110T and the closest relatives, Anaerovorax odorimutans DSM 5092T (94.9 and 46.6%) and Aminipila butyrica DSM 103574T (94.4 and 46.7%), indicated that strain MT110T exhibits sufficient molecular differences for genus-level delineation.",What is the relation between water and Anaerovorax odorimutans?,relate
water,Anaerovorax,"In this study, a novel anaerobic bacterial strain, MT110T, was isolated from a hadal sediment-water interface sample of the Mariana Trench at 10,890 m. The level of 16S rRNA gene sequence similarity and percentage of conserved proteins between strain MT110T and the closest relatives, Anaerovorax odorimutans DSM 5092T (94.9 and 46.6%) and Aminipila butyrica DSM 103574T (94.4 and 46.7%), indicated that strain MT110T exhibits sufficient molecular differences for genus-level delineation.",What is the relation between water and Anaerovorax?,relate
potato,Bacillus amyloliquefaciens,"This study aims to reveal the response mechanism of the potato to three modes of inoculation of biofertilizers all containing PGPM Bacillus amyloliquefaciens EZ99, i.e.",What is the relation between potato and Bacillus amyloliquefaciens?,negative
potato,Bacillus,"This study aims to reveal the response mechanism of the potato to three modes of inoculation of biofertilizers all containing PGPM Bacillus amyloliquefaciens EZ99, i.e.",What is the relation between potato and Bacillus?,negative
coffee,Bacillus,"The commercially available biological products, including Trichoderma asperellum URM 5911 (Quality), Bacillus subtilis UFPEDA 764 (Rizos), Bacillus methylotrophicus UFPEDA 20 (Onix), and nematicide Cadusafos (Rugby), were applied to adult coffee plants.",What is the relation between coffee and Bacillus?,relate
water,Acinetobacter,"The bacterial genus Acinetobacter includes species found in environmental habitats like soil and water, as well as taxa adapted to be host-associated or pathogenic.",What is the relation between water and Acinetobacter?,relate
water,Acinetobacter,"We performed comparative genomics analyses between nectar-dwelling Acinetobacter and Acinetobacter species from other environments, like soil and water.",What is the relation between water and Acinetobacter?,relate
water,Bacillus thuringiensis,"Twenty-one bacterial strains were isolated from contaminated water, with five strains; Bacillus thuringiensis (BHR1), Bacillus cereus (BHR2), Enterobacter cloacae (BHR4), Bacillus pumilus (BHR5), and Bacillus altitudinis (BHR6) selected based on their significant plant-growth promoting (PGP) traits and heavy metal tolerance.",What is the relation between water and Bacillus thuringiensis?,relate
water,Enterobacter cloacae,"Twenty-one bacterial strains were isolated from contaminated water, with five strains; Bacillus thuringiensis (BHR1), Bacillus cereus (BHR2), Enterobacter cloacae (BHR4), Bacillus pumilus (BHR5), and Bacillus altitudinis (BHR6) selected based on their significant plant-growth promoting (PGP) traits and heavy metal tolerance.",What is the relation between water and Enterobacter cloacae?,relate
water,Bacillus pumilus,"Twenty-one bacterial strains were isolated from contaminated water, with five strains; Bacillus thuringiensis (BHR1), Bacillus cereus (BHR2), Enterobacter cloacae (BHR4), Bacillus pumilus (BHR5), and Bacillus altitudinis (BHR6) selected based on their significant plant-growth promoting (PGP) traits and heavy metal tolerance.",What is the relation between water and Bacillus pumilus?,relate
water,Bacillus cereus,"Twenty-one bacterial strains were isolated from contaminated water, with five strains; Bacillus thuringiensis (BHR1), Bacillus cereus (BHR2), Enterobacter cloacae (BHR4), Bacillus pumilus (BHR5), and Bacillus altitudinis (BHR6) selected based on their significant plant-growth promoting (PGP) traits and heavy metal tolerance.",What is the relation between water and Bacillus cereus?,relate
water,Enterobacter,"Twenty-one bacterial strains were isolated from contaminated water, with five strains; Bacillus thuringiensis (BHR1), Bacillus cereus (BHR2), Enterobacter cloacae (BHR4), Bacillus pumilus (BHR5), and Bacillus altitudinis (BHR6) selected based on their significant plant-growth promoting (PGP) traits and heavy metal tolerance.",What is the relation between water and Enterobacter?,relate
water,Bacillus,"Twenty-one bacterial strains were isolated from contaminated water, with five strains; Bacillus thuringiensis (BHR1), Bacillus cereus (BHR2), Enterobacter cloacae (BHR4), Bacillus pumilus (BHR5), and Bacillus altitudinis (BHR6) selected based on their significant plant-growth promoting (PGP) traits and heavy metal tolerance.",What is the relation between water and Bacillus?,relate
honey,Spiroplasma melliferum,"Many Spiroplasma species with various insect hosts, including a honey bee pathogen Spiroplasma melliferum, were shown to positively correlate with Rubus, suggesting this plant genus as an important node for microbial transmission.",What is the relation between honey and Spiroplasma melliferum?,relate
honey,Spiroplasma,"Many Spiroplasma species with various insect hosts, including a honey bee pathogen Spiroplasma melliferum, were shown to positively correlate with Rubus, suggesting this plant genus as an important node for microbial transmission.",What is the relation between honey and Spiroplasma?,relate
milk,Bifidobacterium,Sialylated immunoglobulin G (IgG) is a vital glycoprotein in breast milk with the ability to promote the growth of Bifidobacterium in gut microbiota and relieve inflammatory bowel disease (IBD) symptoms in vitro.,What is the relation between milk and Bifidobacterium?,negative
cabbage,Pectobacterium,Significant disparities were observed in the composition of microbial communities present in the root-zone soil of healthy Chinese cabbage plants compared to those affected by Pectobacterium brasiliense-caused soft rot disease.,What is the relation between cabbage and Pectobacterium?,positive
milk,bifidobacteria,"Complex glycans, such as human milk oligosaccharides and plant glycans, that reach the colon are directly internalized by the transport system of bifidobacteria, cleaved into simple structures by extracellular glycosyl hydrolase, and transported to cells for fermentation.",What is the relation between milk and bifidobacteria?,negative
tomato,Pseudomonas,"Moreover, PeVn1 significantly enhanced resistance of Nicotiana benthamiana to Sclerotinia sclerotiorum, Botrytis cinerea and N. benthamiana mosaic virus and tomato to Pseudomonas syringae pv.",What is the relation between tomato and Pseudomonas?,negative
beef,archaea,Results show that DAMO archaea and bacteria consistently occur at high concentrations in beef cattle manure.,What is the relation between beef and archaea?,positive
water,Escherichia coli,Numerical health risk assessment models have been developed to describe faecal contamination of water using Escherichia coli as an indicator bacterium.,What is the relation between water and Escherichia coli?,positive
water,Escherichia,Numerical health risk assessment models have been developed to describe faecal contamination of water using Escherichia coli as an indicator bacterium.,What is the relation between water and Escherichia?,positive
milk,Escherichia coli,"In this study, we have used pasteurized milk contaminated with model bacteria Escherichia coli, and Staphylococcus aureus for the calibration and validation of the developed POC.",What is the relation between milk and Escherichia coli?,relate
milk,Staphylococcus,"In this study, we have used pasteurized milk contaminated with model bacteria Escherichia coli, and Staphylococcus aureus for the calibration and validation of the developed POC.",What is the relation between milk and Staphylococcus?,relate
milk,Escherichia,"In this study, we have used pasteurized milk contaminated with model bacteria Escherichia coli, and Staphylococcus aureus for the calibration and validation of the developed POC.",What is the relation between milk and Escherichia?,relate
milk,Ruminococcus,"Rumen bacteria like Acetobacter, Ruminococcus, and Prevotellaceae_YAB2003_group correlated positively with milk fatty acids C22:5n-6 and C18:3 in Murrah.",What is the relation between milk and Ruminococcus?,relate
milk,Acetobacter,"Rumen bacteria like Acetobacter, Ruminococcus, and Prevotellaceae_YAB2003_group correlated positively with milk fatty acids C22:5n-6 and C18:3 in Murrah.",What is the relation between milk and Acetobacter?,relate
milk,Ruminococcus,"This suggests that gastrointestinal microbes like Acetobacter, Ruminococcus, and UCG_005 regulate milk fatty acid concentrations in buffaloes.",What is the relation between milk and Ruminococcus?,positive
milk,Acetobacter,"This suggests that gastrointestinal microbes like Acetobacter, Ruminococcus, and UCG_005 regulate milk fatty acid concentrations in buffaloes.",What is the relation between milk and Acetobacter?,positive
water,Actinobacteria,"Results showed a higher relative abundance of bacteria, especially Actinobacteria and Acidobacteria, in soil than water metagenomes, leading to a greater proportion of genes related to membrane transport, regulatory, and cellular signaling.",What is the relation between water and Actinobacteria?,positive
water,Acidobacteria,"Results showed a higher relative abundance of bacteria, especially Actinobacteria and Acidobacteria, in soil than water metagenomes, leading to a greater proportion of genes related to membrane transport, regulatory, and cellular signaling.",What is the relation between water and Acidobacteria?,positive
fish,Akkermansia,"In addition, fish with A. hydrophila infection show decreased richness of gut microbial, reduced relative abundance of probiotics including Akkermansia, and elevated pathogenic bacteria such as Plesimonas.",What is the relation between fish and Akkermansia?,negative
water,cyanobacteria,"Algaecide application enhanced microbial diversity in water and leaves, shifting the dominant community from cyanobacteria to organisms adapted to the post-cyanobacterial decay environment.",What is the relation between water and cyanobacteria?,negative
CRAB,Acinetobacter baumannii,"Pathogens were considered DTp if they were multi-drug-resistant (MDR), extensively drug-resistant (XDR), methicillin-resistant Staphylococcus aureus (MRSA), extended-spectrum beta-lactamase (ESBL)-producing, AmpC-producing, carbapenem-resistant, difficult-to-treat resistance (DTR) Pseudomonas sp., carbapenem-resistant Acinetobacter baumannii (CRAB), or Stenotrophomonas spp.",What is the relation between CRAB and Acinetobacter baumannii?,relate
CRAB,Stenotrophomonas,"Pathogens were considered DTp if they were multi-drug-resistant (MDR), extensively drug-resistant (XDR), methicillin-resistant Staphylococcus aureus (MRSA), extended-spectrum beta-lactamase (ESBL)-producing, AmpC-producing, carbapenem-resistant, difficult-to-treat resistance (DTR) Pseudomonas sp., carbapenem-resistant Acinetobacter baumannii (CRAB), or Stenotrophomonas spp.",What is the relation between CRAB and Stenotrophomonas?,relate
CRAB,Staphylococcus,"Pathogens were considered DTp if they were multi-drug-resistant (MDR), extensively drug-resistant (XDR), methicillin-resistant Staphylococcus aureus (MRSA), extended-spectrum beta-lactamase (ESBL)-producing, AmpC-producing, carbapenem-resistant, difficult-to-treat resistance (DTR) Pseudomonas sp., carbapenem-resistant Acinetobacter baumannii (CRAB), or Stenotrophomonas spp.",What is the relation between CRAB and Staphylococcus?,relate
CRAB,Acinetobacter,"Pathogens were considered DTp if they were multi-drug-resistant (MDR), extensively drug-resistant (XDR), methicillin-resistant Staphylococcus aureus (MRSA), extended-spectrum beta-lactamase (ESBL)-producing, AmpC-producing, carbapenem-resistant, difficult-to-treat resistance (DTR) Pseudomonas sp., carbapenem-resistant Acinetobacter baumannii (CRAB), or Stenotrophomonas spp.",What is the relation between CRAB and Acinetobacter?,relate
CRAB,Pseudomonas,"Pathogens were considered DTp if they were multi-drug-resistant (MDR), extensively drug-resistant (XDR), methicillin-resistant Staphylococcus aureus (MRSA), extended-spectrum beta-lactamase (ESBL)-producing, AmpC-producing, carbapenem-resistant, difficult-to-treat resistance (DTR) Pseudomonas sp., carbapenem-resistant Acinetobacter baumannii (CRAB), or Stenotrophomonas spp.",What is the relation between CRAB and Pseudomonas?,relate
peanuts,Bacillus megaterium,"AIMS: This study explores the potential of cadmium (Cd)-resistant bacteria, specifically Bacillus megaterium A14, to decrease Cd accumulation in peanuts, a crop susceptible to metal uptake from contaminated soils, by understanding the bacterium's impact on plant Cd absorption mechanisms.",What is the relation between peanuts and Bacillus megaterium?,negative
peanuts,Bacillus,"AIMS: This study explores the potential of cadmium (Cd)-resistant bacteria, specifically Bacillus megaterium A14, to decrease Cd accumulation in peanuts, a crop susceptible to metal uptake from contaminated soils, by understanding the bacterium's impact on plant Cd absorption mechanisms.",What is the relation between peanuts and Bacillus?,negative
honey,Klebsiella,"They mainly were pathogenic with antibiotic resistance, while a few bacterial taxa were previously found in honey bees, including Klebsiella pneumoniae and Pseudomanas aeruginosa.",What is the relation between honey and Klebsiella?,relate
peanuts,Micromonospora,"Moreover, the study is the first report of endophytic Micromonospora in peanuts with PGP effects.",What is the relation between peanuts and Micromonospora?,relate
water,Methylobacter,"Methylomonas and Methylobacter, which harbor the arsM gene, were suppressed under silicate fertilization, suggesting that they have the potential to methylate As and play a crucial role in reducing pore-water DMA in As-enriched flooded paddy soils.",What is the relation between water and Methylobacter?,positive
rice,Oxalobacteraceae,"Using the rice Casparian strip mutant Oscasp1-1, we confirmed that reduced lignin deposition selectively recruits the diazotrophic family of Oxalobacteraceae to confer tolerance to low nitrogen availability.",What is the relation between rice and Oxalobacteraceae?,negative
fish,Aeromonas veronii,This study aimed to establish a model of Aeromonas veronii infection in silver carp and subsequently treat the infected fish with 10 μg/L phoxim.,What is the relation between fish and Aeromonas veronii?,positive
fish,Aeromonas,This study aimed to establish a model of Aeromonas veronii infection in silver carp and subsequently treat the infected fish with 10 μg/L phoxim.,What is the relation between fish and Aeromonas?,positive
buckwheat,Bacillus amyloliquefaciens,"Bacillus velezensis FUA2155 and Bacillus amyloliquefaciens Fad WE ferments were prepared using white wheat flour, wheat bran or buckwheat, and were added at a level of 2.5-20 % to bread dough.",What is the relation between buckwheat and Bacillus amyloliquefaciens?,negative
buckwheat,Bacillus,"Bacillus velezensis FUA2155 and Bacillus amyloliquefaciens Fad WE ferments were prepared using white wheat flour, wheat bran or buckwheat, and were added at a level of 2.5-20 % to bread dough.",What is the relation between buckwheat and Bacillus?,negative
bread,Bacillus amyloliquefaciens,"Bacillus velezensis FUA2155 and Bacillus amyloliquefaciens Fad WE ferments were prepared using white wheat flour, wheat bran or buckwheat, and were added at a level of 2.5-20 % to bread dough.",What is the relation between bread and Bacillus amyloliquefaciens?,negative
bread,Bacillus,"Bacillus velezensis FUA2155 and Bacillus amyloliquefaciens Fad WE ferments were prepared using white wheat flour, wheat bran or buckwheat, and were added at a level of 2.5-20 % to bread dough.",What is the relation between bread and Bacillus?,negative
bread,Bacillus,The volume of white wheat bread and wheat bran bread increased by 47.4 and 62.5 % respectively with 2.5 % Bacillus ferments.,What is the relation between bread and Bacillus?,negative
bread,Bacillus,Bread shelf-life was prolonged by the Bacillus ferment only at higher dosages that also reduced bread volume.,What is the relation between bread and Bacillus?,negative
buckwheat,Bacillus,The characterization of water-soluble polysaccharides from sourdoughs and Bacillus ferments revealed that solubilization of arabinoxylans contributed to the increase in volume after fermentation of wheat but not after fermentation of buckwheat.,What is the relation between buckwheat and Bacillus?,negative
water,Bacillus,The characterization of water-soluble polysaccharides from sourdoughs and Bacillus ferments revealed that solubilization of arabinoxylans contributed to the increase in volume after fermentation of wheat but not after fermentation of buckwheat.,What is the relation between water and Bacillus?,negative
bread,Bacillus,"In conclusion, Bacillus fermentation can be used to improve bread quality, adding to the diversity of microbes that are suitable for baking applications.",What is the relation between bread and Bacillus?,negative
milk,Lactococcus,Comparative proteome analysis of Lactococcus cremoris NCDO712 grown in laboratory medium and milk revealed proteome adaptations that predominantly reflect the differential (micro-)nutrient availability in these two environments.,What is the relation between milk and Lactococcus?,relate
chicken,Lactobacillus,"These three Lactobacillus species could be promising probiotics to improve the meat quality of chicken.IMPORTANCEThis study revealed that the L. plantarum, L. ingluviei, and L. salivarius could enhance the production of protoporphyrin IX and short-chain fatty acids in the cecum of chickens, improving glucose metabolism, and finally cause the increase in fiber diameter and density of skeletal muscle.",What is the relation between chicken and Lactobacillus?,negative
vegetable oil,Blautia,"Specifically, systolic blood pressure is lowered by vegetable oil through increasing the abundance of Blautia and reducing the serum level of 1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1), but it is reduced by fruit intake through increasing the serum level of Blautia improved threonate.",What is the relation between vegetable oil and Blautia?,negative
mulberry,Sphingobacterium,"However, the abundances of potential Cd-resistant microbes in the host's gut, including Sphingobacterium, Lactococcus, and Chryseobacterium, decreased with increasing Cd concentrations in the mulberry leaves.",What is the relation between mulberry and Sphingobacterium?,positive
mulberry,Chryseobacterium,"However, the abundances of potential Cd-resistant microbes in the host's gut, including Sphingobacterium, Lactococcus, and Chryseobacterium, decreased with increasing Cd concentrations in the mulberry leaves.",What is the relation between mulberry and Chryseobacterium?,positive
mulberry,Lactococcus,"However, the abundances of potential Cd-resistant microbes in the host's gut, including Sphingobacterium, Lactococcus, and Chryseobacterium, decreased with increasing Cd concentrations in the mulberry leaves.",What is the relation between mulberry and Lactococcus?,positive
pear,Escherichia coli,"CfRibo1 and CfRibo2 recombinant proteins exhibited toxicity against Escherichia coli, Saccharomyces cerevisiae, and, importantly, the phyllosphere microorganisms isolated from the pear host.",What is the relation between pear and Escherichia coli?,positive
pear,Escherichia,"CfRibo1 and CfRibo2 recombinant proteins exhibited toxicity against Escherichia coli, Saccharomyces cerevisiae, and, importantly, the phyllosphere microorganisms isolated from the pear host.",What is the relation between pear and Escherichia?,positive
pear,Bacillus,"Among these isolated microbial strains, Bacillus altitudinis is a pathogenic bacterium causing pear soft rot.",What is the relation between pear and Bacillus?,relate
lettuce,Bacillus,We have established a model system consisting of Bacillus subtilis and lettuce seedlings co-inoculated in transparent soil microcosms.,What is the relation between lettuce and Bacillus?,negative
tomato,Pseudomonas,AtLORE-transgenic tomato shows enhanced resistance against Pseudomonas syringae pv.,What is the relation between tomato and Pseudomonas?,negative
water,Candida albicans,"The isolated bacteria from the water sample were Bacillus subtilis (OQ073500) and Escherichia coli (MW534699), while the isolated fungi were Alternaria brassicae (MZ266540), Aspergillus flavus (MT550030), Aspergillus penicillioides (MW957971), Pythium ultimum (MW830915), Verticillium dahlia (MW830379), Fusarium acuminatum (MZ266538), Candida albicans (MW534712), and Candida parapsilosis (MW960416).",What is the relation between water and Candida albicans?,relate
water,Escherichia coli,"The isolated bacteria from the water sample were Bacillus subtilis (OQ073500) and Escherichia coli (MW534699), while the isolated fungi were Alternaria brassicae (MZ266540), Aspergillus flavus (MT550030), Aspergillus penicillioides (MW957971), Pythium ultimum (MW830915), Verticillium dahlia (MW830379), Fusarium acuminatum (MZ266538), Candida albicans (MW534712), and Candida parapsilosis (MW960416).",What is the relation between water and Escherichia coli?,relate
water,Escherichia,"The isolated bacteria from the water sample were Bacillus subtilis (OQ073500) and Escherichia coli (MW534699), while the isolated fungi were Alternaria brassicae (MZ266540), Aspergillus flavus (MT550030), Aspergillus penicillioides (MW957971), Pythium ultimum (MW830915), Verticillium dahlia (MW830379), Fusarium acuminatum (MZ266538), Candida albicans (MW534712), and Candida parapsilosis (MW960416).",What is the relation between water and Escherichia?,relate
water,Bacillus,"The isolated bacteria from the water sample were Bacillus subtilis (OQ073500) and Escherichia coli (MW534699), while the isolated fungi were Alternaria brassicae (MZ266540), Aspergillus flavus (MT550030), Aspergillus penicillioides (MW957971), Pythium ultimum (MW830915), Verticillium dahlia (MW830379), Fusarium acuminatum (MZ266538), Candida albicans (MW534712), and Candida parapsilosis (MW960416).",What is the relation between water and Bacillus?,relate
apple,Erwinia amylovora,"In this study, we used insect exclusion netting to investigate the role of pollinators in the assembly of the microbiota on apple stigma and the transmission of the fire blight pathogen Erwinia amylovora.",What is the relation between apple and Erwinia amylovora?,positive
apple,Erwinia,"In this study, we used insect exclusion netting to investigate the role of pollinators in the assembly of the microbiota on apple stigma and the transmission of the fire blight pathogen Erwinia amylovora.",What is the relation between apple and Erwinia?,positive
water,Oceanospirillales,"A clear compositional and functional vertical connectivity of microbial communities was observed throughout the water column with Oceanospirillales, Alteromonadales, and Rhodobacterales as key taxa.",What is the relation between water and Oceanospirillales?,relate
water,Alteromonadales,"A clear compositional and functional vertical connectivity of microbial communities was observed throughout the water column with Oceanospirillales, Alteromonadales, and Rhodobacterales as key taxa.",What is the relation between water and Alteromonadales?,relate
rice,Xanthomonas sacchari,"Recently published studies have reported the keystone species to be Xanthomonas sacchari, a core endophyte that is vertically transmitted in rice with probiotic properties.",What is the relation between rice and Xanthomonas sacchari?,relate
rice,Xanthomonas,"Recently published studies have reported the keystone species to be Xanthomonas sacchari, a core endophyte that is vertically transmitted in rice with probiotic properties.",What is the relation between rice and Xanthomonas?,relate
rice,Xanthomonas,"Furthermore, the Xanthomonas species was reported to be involved in the assembly of beneficial bacteria after early inoculation in rice seeds.",What is the relation between rice and Xanthomonas?,positive
rice,Xanthomonas,"By including nonpathogenic Xanthomonas species with plant-protective functions reported from rice seeds, we have correctly established the phylogenetic and taxonomic identity of the keystone species as X. sontii.",What is the relation between rice and Xanthomonas?,relate
water,cyanobacteria,"In this study, the exopolysaccharide from cyanobacteria was used for detoxification of acid hydrolysate of water hyacinth biomass.",What is the relation between water and cyanobacteria?,negative
rice,Bacillus amyloliquefaciens,"This study evaluated the capacity of encapsulated Bacillus amyloliquefaciens D203, embedded within an alginate-bentonite coating infused with titanium nanoparticles (TNs), to stimulate defense responses in rice seedlings challenged by the Magnaporthe oryzae the causal agent of rice blast disease.",What is the relation between rice and Bacillus amyloliquefaciens?,negative
rice,Bacillus,"This study evaluated the capacity of encapsulated Bacillus amyloliquefaciens D203, embedded within an alginate-bentonite coating infused with titanium nanoparticles (TNs), to stimulate defense responses in rice seedlings challenged by the Magnaporthe oryzae the causal agent of rice blast disease.",What is the relation between rice and Bacillus?,negative
fish,Weissella,"At the genus level, feeding artificial diets significantly increased the abundance of Weissella in the mandarin fish gut.",What is the relation between fish and Weissella?,negative
fish,Weissella,"Furthermore, two Weissella bacteria were identified and characterized from the midgut contents of mandarin fish fed with artificial diet.",What is the relation between fish and Weissella?,relate
fish,Weissella,"Therefore, our results confirmed that the transformation of feeding habit altered the structure, microbial composition and dominant bacteria in gut of mandarin fish, and provided evidence that Weissella might play a crucial role in the digestion and absorption of artificial diet in mandarin fish.",What is the relation between fish and Weissella?,positive
corn,Serratia,"Therefore, corn straw biochar was used as a carrier to prepare materials for fixing the endophytes Serratia sp.",What is the relation between corn and Serratia?,negative
milk,Clostridium leptum,RESULTS: The results demonstrated that breast milk butyric acid (C4) is significantly associated with Clostridium leptum richness in breastmilk.,What is the relation between milk and Clostridium leptum?,positive
milk,Clostridium,RESULTS: The results demonstrated that breast milk butyric acid (C4) is significantly associated with Clostridium leptum richness in breastmilk.,What is the relation between milk and Clostridium?,positive
milk,Bifidobacterium,"Additionally, the specific Bifidobacterium may have an interactive symbiosis with the main species of C4-producing bacteria in human milk.",What is the relation between milk and Bifidobacterium?,negative
milk,Salmonella,Women with a low breast milk C4 tertile are associated with a high abundance of Salmonella and Salmonella enterica in their infants' feces.,What is the relation between milk and Salmonella?,positive
tomato,Xanthomonas,"This study sought to explore the effect of rhizosphere dysbiosis on the health of tomato plants (Solanum lycopersicum L.), using them and the foliar bacterial spot pathogen Xanthomonas perforans as model organisms.",What is the relation between tomato and Xanthomonas?,relate
garlic,Faecalibacterium,Fermentation of cooked garlic promoted Faecalibacterium growth.,What is the relation between garlic and Faecalibacterium?,negative
tomato,Pseudomonas putida,"A pot experiment was conducted to investigate the effects of single/dual inoculation with AMF (Funneliformis mosseae, M) and Pseudomonas putida (P) on the growth and defense of tomato variety Dafen (Solanum lycopersicum L.) in response to infestation by T. absoluta, as well as the growth, development, and enzyme activity of insect.",What is the relation between tomato and Pseudomonas putida?,negative
tomato,Pseudomonas,"A pot experiment was conducted to investigate the effects of single/dual inoculation with AMF (Funneliformis mosseae, M) and Pseudomonas putida (P) on the growth and defense of tomato variety Dafen (Solanum lycopersicum L.) in response to infestation by T. absoluta, as well as the growth, development, and enzyme activity of insect.",What is the relation between tomato and Pseudomonas?,negative
orange,Clostridium butyricum,"Several food additives had significant effects on the relative abundances of bacterial species; for example, acid orange 7 and saccharin led to a 75% decrease in Clostridium butyricum, with saccharin causing an additional 2.5-fold increase in E. coli compared to the control.",What is the relation between orange and Clostridium butyricum?,negative
orange,Clostridium,"Several food additives had significant effects on the relative abundances of bacterial species; for example, acid orange 7 and saccharin led to a 75% decrease in Clostridium butyricum, with saccharin causing an additional 2.5-fold increase in E. coli compared to the control.",What is the relation between orange and Clostridium?,negative
fish,Vibrio,"Using a zebrafish-native Vibrio and live imaging of larval fish, we find evidence that immune cells mediate the connection between bacteria and host mechanics.",What is the relation between fish and Vibrio?,relate
water,Proteobacteria,"Control water samples displayed a dominance of Proteobacteria (62%), Firmicutes (24%), and Bacteroidetes (9%).",What is the relation between water and Proteobacteria?,positive
water,Bacteroidetes,"Control water samples displayed a dominance of Proteobacteria (62%), Firmicutes (24%), and Bacteroidetes (9%).",What is the relation between water and Bacteroidetes?,negative
water,Firmicutes,"Control water samples displayed a dominance of Proteobacteria (62%), Firmicutes (24%), and Bacteroidetes (9%).",What is the relation between water and Firmicutes?,negative
water,Pseudomonas,"At the genus level, water samples dominated by Niveispirillum (34%) declined after AO7 exposure, while Bacillus and Pseudomonas increased.",What is the relation between water and Pseudomonas?,negative
water,Bacillus,"At the genus level, water samples dominated by Niveispirillum (34%) declined after AO7 exposure, while Bacillus and Pseudomonas increased.",What is the relation between water and Bacillus?,negative
apple,Bacillus mycoides,"Two of these isolates, strain I3 (most closely related to Pseudomonas sichuanensis and P. entomophila) and strain I1b (most closely related to Bacillus mycoides), showed inhibitory effects against apple brown rot and apple scab (Venturia inaequalis), while strain I3 also inhibited gray mold (Botrytis cinerea) and Fusarium head blight (Fusarium graminearum).",What is the relation between apple and Bacillus mycoides?,negative
apple,Pseudomonas,"Two of these isolates, strain I3 (most closely related to Pseudomonas sichuanensis and P. entomophila) and strain I1b (most closely related to Bacillus mycoides), showed inhibitory effects against apple brown rot and apple scab (Venturia inaequalis), while strain I3 also inhibited gray mold (Botrytis cinerea) and Fusarium head blight (Fusarium graminearum).",What is the relation between apple and Pseudomonas?,negative
apple,Bacillus,"Two of these isolates, strain I3 (most closely related to Pseudomonas sichuanensis and P. entomophila) and strain I1b (most closely related to Bacillus mycoides), showed inhibitory effects against apple brown rot and apple scab (Venturia inaequalis), while strain I3 also inhibited gray mold (Botrytis cinerea) and Fusarium head blight (Fusarium graminearum).",What is the relation between apple and Bacillus?,negative
water,Archaea,"Although ASV numbers displayed different trends for the two different prokaryotic domains (positive correlation with pH for Bacteria, negative correlation for both pH and T for Archaea), such results indicate that even an extremely ephemeral presence of water can influence the importance of temperature and pH as drivers for microbial community structure.",What is the relation between water and Archaea?,relate
