DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
chronic kidney disease (CKD),Prevotellaceae,"Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.",What is the relationship between chronic kidney disease (CKD) and Prevotellaceae?,negative
chronic kidney disease (CKD),Roseburia,"Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.",What is the relationship between chronic kidney disease (CKD) and Roseburia?,negative
chronic kidney disease (CKD),Enterobacteriaceae,"Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.",What is the relationship between chronic kidney disease (CKD) and Enterobacteriaceae?,positive
chronic kidney disease (CKD),Streptococcaceae,"Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.",What is the relationship between chronic kidney disease (CKD) and Streptococcaceae?,positive
chronic kidney disease (CKD),Enterococcus,"Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.",What is the relationship between chronic kidney disease (CKD) and Enterococcus?,positive
chronic kidney disease (CKD),Roseburia,"Long-term dietary patterns are closely associated with the gut microbiota.21 Unfortunately, traditional nutritional advice for CKD has resulted in restricting fruits, vegetables, nuts, and other high-fiber foods and phytochemicals and antioxidants that are essential nutrients for the gut micro- biota.32 These are also key foods for butyrate-producing bacteria, which are reduced in CKD.33 Furthermore, low-protein diets may also impact the gut microbiota, with enrichment of Lactobacillaceae and Bacteroidaceae fam- ilies, Streptococcus anginosus, lower Roseburia faecis, and Bacter- oides eggerthii.34 Keto-analogues, which may be used with low-protein diets, are associated with lower abundances of Pseudomonadota phylum (formerly Proteobacteria), Pre- votellaceae and Lactobacillaceae families, and increased abun- dance of Bacteroidaceae and Lachnospiraceae families.",What is the relationship between chronic kidney disease (CKD) and Roseburia?,negative
constipation,Faecalibacterium,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Faecalibacterium?,negative
constipation,Bifidobacterium,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Bifidobacterium?,negative
constipation,Lactobacillus,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Lactobacillus?,negative
constipation,Lachnospira,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Lachnospira?,negative
constipation,Bacteroides,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Bacteroides?,negative
constipation,Akkermansia,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between constipation and Akkermansia?,negative
chronic kidney disease (CKD),Bifidobacterium,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between chronic kidney disease (CKD) and Bifidobacterium?,negative
chronic kidney disease (CKD),Lactobacillus,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between chronic kidney disease (CKD) and Lactobacillus?,negative
chronic kidney disease (CKD),Bacteroides,"First, in non-CKD populations, high phys- ical activity levels are associated with greater bacterial diver- sity and abundance of SCFA-producing genera, including Faecalibacterium, Lachnospira, and Akkermansia.42 The abun- dance of these gut bacteria is altered in CKD and physical activity levels are low.43 Second, constipation from the combined impact of low-dietary fiber, fluid restrictions, neuropathy, low physical activity, and phosphate binders use is common in CKD.44 Constipation can induce changes to the gut microbiota resulting in significant reductions in Bifidobacterium, Lactobacillus, and Bacteroides genera.45 Finally, chronic inflammation is common in CKD, which is also known to impact gut microbiota.46 However, it is essential to highlight that the evidence of microbial changes due to these factors is limited in CKD.",What is the relationship between chronic kidney disease (CKD) and Bacteroides?,negative
stroke,Peptococcus,"For example, analysis of the cecum flora of mice after ischemic stroke revealed an increase in the relative abundance of Peptococcus and a decrease in the proportion of Prevotella.",What is the relationship between stroke and Peptococcus?,positive
stroke,Prevotella,"For example, analysis of the cecum flora of mice after ischemic stroke revealed an increase in the relative abundance of Peptococcus and a decrease in the proportion of Prevotella.",What is the relationship between stroke and Prevotella?,negative
multiple sclerosis (MS),actinomycetes,"Gut microbiota dysbiosis is characterized by less microbial diversity (fewer bacterial phyla) and upregulation of pro-inflammatory species (actinomycetes, bifidobacterial, and streptococci) in the gut of MS patients, and disordered microbial diversity resulted in significant downregulation of beneficial SCFA, suggesting that gut microbial population and its metabolites changes are associated with the onset and progression of MS.",What is the relationship between multiple sclerosis (MS) and actinomycetes?,positive
multiple sclerosis (MS),bifidobacterial,"Gut microbiota dysbiosis is characterized by less microbial diversity (fewer bacterial phyla) and upregulation of pro-inflammatory species (actinomycetes, bifidobacterial, and streptococci) in the gut of MS patients, and disordered microbial diversity resulted in significant downregulation of beneficial SCFA, suggesting that gut microbial population and its metabolites changes are associated with the onset and progression of MS.",What is the relationship between multiple sclerosis (MS) and bifidobacterial?,positive
multiple sclerosis (MS),streptococci,"Gut microbiota dysbiosis is characterized by less microbial diversity (fewer bacterial phyla) and upregulation of pro-inflammatory species (actinomycetes, bifidobacterial, and streptococci) in the gut of MS patients, and disordered microbial diversity resulted in significant downregulation of beneficial SCFA, suggesting that gut microbial population and its metabolites changes are associated with the onset and progression of MS.",What is the relationship between multiple sclerosis (MS) and streptococci?,positive
sepsis,Lactobacillus,"Moreover, microbiota transfer from intestinal clock-deficient mice into GF mice altered intestinal gene expression and suppressed immune cell recruitment225 and BaWeiBaiDuSan, a herbal formula, has been shown to alleviate polymicrobial sepsis-induced liver injury in mice by modulating macrophage anti-inflammatory activity and increasing the gut microbiota Lactobacillus johnsonii226.",What is the relationship between sepsis and Lactobacillus?,negative
Inflammatory bowel disease (IBD),Firmicutes,"A large number of studies have also shown that IBD patients are usually accompanied by gut microbiota disturbance, which is mainly characterized by a decrease in the abundance and diversity of gut microbiota, among which the Firmicutes flora is reduced and the flora of Bacteroidetes and Actinomyces are increased [6,15].",What is the relationship between Inflammatory bowel disease (IBD) and Firmicutes?,negative
Inflammatory bowel disease (IBD),Bacteroidetes,"A large number of studies have also shown that IBD patients are usually accompanied by gut microbiota disturbance, which is mainly characterized by a decrease in the abundance and diversity of gut microbiota, among which the Firmicutes flora is reduced and the flora of Bacteroidetes and Actinomyces are increased [6,15].",What is the relationship between Inflammatory bowel disease (IBD) and Bacteroidetes?,positive
Inflammatory bowel disease (IBD),Actinomyces,"A large number of studies have also shown that IBD patients are usually accompanied by gut microbiota disturbance, which is mainly characterized by a decrease in the abundance and diversity of gut microbiota, among which the Firmicutes flora is reduced and the flora of Bacteroidetes and Actinomyces are increased [6,15].",What is the relationship between Inflammatory bowel disease (IBD) and Actinomyces?,positive
Inflammatory bowel disease (IBD),Firmicutes,"Compared with healthy people, patients with IBD usually showed a microbiota imbalance with decreased gut microbiota diversity, reduced abundance of Firmicutes, and increased abundances of Bacteroidetes and Actinobacteria [27].",What is the relationship between Inflammatory bowel disease (IBD) and Firmicutes?,negative
Inflammatory bowel disease (IBD),Bacteroidetes,"Compared with healthy people, patients with IBD usually showed a microbiota imbalance with decreased gut microbiota diversity, reduced abundance of Firmicutes, and increased abundances of Bacteroidetes and Actinobacteria [27].",What is the relationship between Inflammatory bowel disease (IBD) and Bacteroidetes?,positive
Inflammatory bowel disease (IBD),Actinobacteria,"Compared with healthy people, patients with IBD usually showed a microbiota imbalance with decreased gut microbiota diversity, reduced abundance of Firmicutes, and increased abundances of Bacteroidetes and Actinobacteria [27].",What is the relationship between Inflammatory bowel disease (IBD) and Actinobacteria?,positive
Inflammatory bowel disease (IBD),Enterobacteriaceae,"For example, opportunistic pathogens, such as Enterobacteriaceae, are significantly increased in IBD patients and are positively correlated with the severity of IBD, which can increase the production of LPS and induce colon inflammation by stimulating the release of proinflammatory cytokines [16,35].",What is the relationship between Inflammatory bowel disease (IBD) and Enterobacteriaceae?,positive
Inflammatory bowel disease (IBD),Clostridium difficile,"As an opportunistic pathogen, Clostridium difficile could induce intestinal infection, prolong hospital stays, and aggravate the symptoms of patients with IBD.",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium difficile?,positive
Inflammatory bowel disease (IBD),Clostridium,"As an opportunistic pathogen, Clostridium difficile could induce intestinal infection, prolong hospital stays, and aggravate the symptoms of patients with IBD.",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium?,positive
Inflammatory bowel disease (IBD),Clostridium,"Furthermore, evidence have shown that the abundances of beneficial bacteria species, including Clostridium clusters IV and XIVa, Faecalibacterium prausnitzii, and Eubacterium, were significantly decreased in IBD patients [38 40].",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium?,negative
Inflammatory bowel disease (IBD),Faecalibacterium prausnitzii,"Furthermore, evidence have shown that the abundances of beneficial bacteria species, including Clostridium clusters IV and XIVa, Faecalibacterium prausnitzii, and Eubacterium, were significantly decreased in IBD patients [38 40].",What is the relationship between Inflammatory bowel disease (IBD) and Faecalibacterium prausnitzii?,negative
Inflammatory bowel disease (IBD),Faecalibacterium,"Furthermore, evidence have shown that the abundances of beneficial bacteria species, including Clostridium clusters IV and XIVa, Faecalibacterium prausnitzii, and Eubacterium, were significantly decreased in IBD patients [38 40].",What is the relationship between Inflammatory bowel disease (IBD) and Faecalibacterium?,negative
Inflammatory bowel disease (IBD),Eubacterium,"Furthermore, evidence have shown that the abundances of beneficial bacteria species, including Clostridium clusters IV and XIVa, Faecalibacterium prausnitzii, and Eubacterium, were significantly decreased in IBD patients [38 40].",What is the relationship between Inflammatory bowel disease (IBD) and Eubacterium?,negative
Inflammatory bowel disease (IBD),Clostridium coccoides,"demonstrated that patients with active IBD had lower abundances of Clostridium coccoides, Clostridium leptum, F. prausnitzii, and Bifidobacterium compared to patients in remission, which suggests that dysbiosis may be involved in the activity of IBD [41].",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium coccoides?,negative
Inflammatory bowel disease (IBD),Clostridium leptum,"demonstrated that patients with active IBD had lower abundances of Clostridium coccoides, Clostridium leptum, F. prausnitzii, and Bifidobacterium compared to patients in remission, which suggests that dysbiosis may be involved in the activity of IBD [41].",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium leptum?,negative
Inflammatory bowel disease (IBD),Faecalibacterium prausnitzii,"demonstrated that patients with active IBD had lower abundances of Clostridium coccoides, Clostridium leptum, F. prausnitzii, and Bifidobacterium compared to patients in remission, which suggests that dysbiosis may be involved in the activity of IBD [41].",What is the relationship between Inflammatory bowel disease (IBD) and Faecalibacterium prausnitzii?,negative
Inflammatory bowel disease (IBD),Bifidobacterium,"demonstrated that patients with active IBD had lower abundances of Clostridium coccoides, Clostridium leptum, F. prausnitzii, and Bifidobacterium compared to patients in remission, which suggests that dysbiosis may be involved in the activity of IBD [41].",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,negative
Inflammatory bowel disease (IBD),Lactobacillus,"Gut microbiota interventions, such as Lactobacillus and Bifidobacterium administration, have been reported to ameliorate intestinal inflammation via promoting the production of anti-inflammatory cytokines, inhibiting the level of oxidative stress, and increasing the content of short-chain fatty acids, which have been ascertained in both IBD patients and in animal models [42,43].",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacillus?,negative
Inflammatory bowel disease (IBD),Bifidobacterium,"Gut microbiota interventions, such as Lactobacillus and Bifidobacterium administration, have been reported to ameliorate intestinal inflammation via promoting the production of anti-inflammatory cytokines, inhibiting the level of oxidative stress, and increasing the content of short-chain fatty acids, which have been ascertained in both IBD patients and in animal models [42,43].",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,negative
Inflammatory bowel disease (IBD),Bifidobacterium,"The abundance of protective bacteria species such as Bifidobacterium and Lactobacilli was reported to decreased in IBD patients, and these protective bacteria could increase the frequency of mucosal Treg cells to ameliorate IBD symptoms [50].",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,negative
Inflammatory bowel disease (IBD),Lactobacilli,"The abundance of protective bacteria species such as Bifidobacterium and Lactobacilli was reported to decreased in IBD patients, and these protective bacteria could increase the frequency of mucosal Treg cells to ameliorate IBD symptoms [50].",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacilli?,negative
Inflammatory bowel disease (IBD),Peptostreptococcaceae,"In addition, gut microbiota disturbance in IBD patients, such as a decrease in Bacteroidetes and increases in Peptostreptococcaceae and Enterobacteriaceae, led to a decreased content of intestinal antimicrobial peptides (AMPs), including REG3G and DEFB1, which weakened intestinal defense barrier function as a consequence [57].",What is the relationship between Inflammatory bowel disease (IBD) and Peptostreptococcaceae?,positive
Inflammatory bowel disease (IBD),Bacteroidetes,"In addition, gut microbiota disturbance in IBD patients, such as a decrease in Bacteroidetes and increases in Peptostreptococcaceae and Enterobacteriaceae, led to a decreased content of intestinal antimicrobial peptides (AMPs), including REG3G and DEFB1, which weakened intestinal defense barrier function as a consequence [57].",What is the relationship between Inflammatory bowel disease (IBD) and Bacteroidetes?,negative
Inflammatory bowel disease (IBD),Enterobacteriaceae,"In addition, gut microbiota disturbance in IBD patients, such as a decrease in Bacteroidetes and increases in Peptostreptococcaceae and Enterobacteriaceae, led to a decreased content of intestinal antimicrobial peptides (AMPs), including REG3G and DEFB1, which weakened intestinal defense barrier function as a consequence [57].",What is the relationship between Inflammatory bowel disease (IBD) and Enterobacteriaceae?,positive
Inflammatory bowel disease (IBD),Lachnospiraceae,"Evidence from 16S bacteria sequencing demonstrated that the abundances of Lachnospiraceae and F. prausnitzii were significantly reduced in the feces of IBD patients, resulting in decreased intestinal butyrate content and aggravated intestinal barrier damage in inflamed colons [66,67].",What is the relationship between Inflammatory bowel disease (IBD) and Lachnospiraceae?,negative
Inflammatory bowel disease (IBD),Faecalibacterium prausnitzii,"Evidence from 16S bacteria sequencing demonstrated that the abundances of Lachnospiraceae and F. prausnitzii were significantly reduced in the feces of IBD patients, resulting in decreased intestinal butyrate content and aggravated intestinal barrier damage in inflamed colons [66,67].",What is the relationship between Inflammatory bowel disease (IBD) and Faecalibacterium prausnitzii?,negative
Inflammatory bowel disease (IBD),Roseburia,"In addition, a relevant study showed that the abundance of Roseburia hominis, a butyrate-producing bacteria, was notably reduced in IBD patients, which was tightly related to the reduced content of SCFAs in the feces of patients [68].",What is the relationship between Inflammatory bowel disease (IBD) and Roseburia?,negative
Inflammatory bowel disease (IBD),Peptostreptococcus russellii,"Some AhR ligands producing commensal microbiomes, such as Peptostreptococcus russellii, Lactobacillus, and Bifidobacteria, have been proved to be decreased in IBD patients [75,87].",What is the relationship between Inflammatory bowel disease (IBD) and Peptostreptococcus russellii?,negative
Inflammatory bowel disease (IBD),Lactobacillus,"Some AhR ligands producing commensal microbiomes, such as Peptostreptococcus russellii, Lactobacillus, and Bifidobacteria, have been proved to be decreased in IBD patients [75,87].",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacillus?,negative
Inflammatory bowel disease (IBD),Bifidobacteria,"Some AhR ligands producing commensal microbiomes, such as Peptostreptococcus russellii, Lactobacillus, and Bifidobacteria, have been proved to be decreased in IBD patients [75,87].",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacteria?,negative
Inflammatory bowel disease (IBD),Bacteroides,"Generally, conjugated Bas are converted into respective unconjugated free forms through the action of bile salt hydrolase (BSH)-carrying bacteria, such as Bacteroides, Clostridium, Lactobacillus, Bifidobacterium, and Listeria, the abundances of which have been demonstrated to decrease in IBD patients.",What is the relationship between Inflammatory bowel disease (IBD) and Bacteroides?,negative
Inflammatory bowel disease (IBD),Clostridium,"Generally, conjugated Bas are converted into respective unconjugated free forms through the action of bile salt hydrolase (BSH)-carrying bacteria, such as Bacteroides, Clostridium, Lactobacillus, Bifidobacterium, and Listeria, the abundances of which have been demonstrated to decrease in IBD patients.",What is the relationship between Inflammatory bowel disease (IBD) and Clostridium?,negative
Inflammatory bowel disease (IBD),Lactobacillus,"Generally, conjugated Bas are converted into respective unconjugated free forms through the action of bile salt hydrolase (BSH)-carrying bacteria, such as Bacteroides, Clostridium, Lactobacillus, Bifidobacterium, and Listeria, the abundances of which have been demonstrated to decrease in IBD patients.",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacillus?,negative
Inflammatory bowel disease (IBD),Bifidobacterium,"Generally, conjugated Bas are converted into respective unconjugated free forms through the action of bile salt hydrolase (BSH)-carrying bacteria, such as Bacteroides, Clostridium, Lactobacillus, Bifidobacterium, and Listeria, the abundances of which have been demonstrated to decrease in IBD patients.",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,negative
Inflammatory bowel disease (IBD),Listeria,"Generally, conjugated Bas are converted into respective unconjugated free forms through the action of bile salt hydrolase (BSH)-carrying bacteria, such as Bacteroides, Clostridium, Lactobacillus, Bifidobacterium, and Listeria, the abundances of which have been demonstrated to decrease in IBD patients.",What is the relationship between Inflammatory bowel disease (IBD) and Listeria?,negative
ulcerative colitis (UC),Bacillus,"found that the severity of symptoms in DSS-induced colitis mice was reduced after the administration of milk fermented with Bacillus subtilis, the potential mechanism of which was that probiotic-fermented milk alleviated gut microbiota dysbiosis and increased the expressions of intestinal tight junction proteins in UC mice [73].",What is the relationship between ulcerative colitis (UC) and Bacillus?,negative
Inflammatory bowel disease (IBD),Cloacibacterium,"In addition, the bacterial species of Cloacibacterium and Tissierellaceae were more enriched in inflammatory tissues compared with non-inflammatory sites in IBD patients",What is the relationship between Inflammatory bowel disease (IBD) and Cloacibacterium?,positive
Inflammatory bowel disease (IBD),Tissierellaceae,"In addition, the bacterial species of Cloacibacterium and Tissierellaceae were more enriched in inflammatory tissues compared with non-inflammatory sites in IBD patients",What is the relationship between Inflammatory bowel disease (IBD) and Tissierellaceae?,positive
colitis,Lactobacillus casei,The administration of Shirota strain of Lactobacillus casei could significantly ameliorate the severity of DSS-induced colitis by restoring the composition of the gut microbiota and circulating bile acid profiles in colitic mice,What is the relationship between colitis and Lactobacillus casei?,negative
crohn's disease (CD),Faecalibacterium prausnitzii,"Compared with healthy controls, the levels of Bifidobacterium longum in UC, Eubacterium rectale, Faecalibacterium prausnitzii, Roseburia intestinalis, and other beneficial bacteria in CD and UC were significantly reduced, while the relative abundance and growth rate of harmful bacteria such as Bacteroides fragilis are increased (Vich Vila et al., 2018).",What is the relationship between crohn's disease (CD) and Faecalibacterium prausnitzii?,negative
